Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
41928,2023-10-14 00:00:00,2024-07-17 00:00:00,3.1,42.18,104.0,90.0,20.0,0.0,2590.0,52.0
41929,2023-10-14 01:00:00,2024-07-17 00:00:00,3.1,41.15,104.0,91.0,21.0,0.0,2677.0,53.0
41930,2023-10-14 02:00:00,2024-07-17 00:00:00,3.1,38.09,102.0,91.0,20.0,0.0,2865.0,54.0
41931,2023-10-14 03:00:00,2024-07-17 00:00:00,3.1,35.24,101.0,91.0,20.0,0.0,3097.0,55.0
41932,2023-10-14 04:00:00,2024-07-17 00:00:00,3.1,31.65,105.0,91.0,21.0,0.0,3581.0,56.0
41933,2023-10-14 05:00:00,2024-07-17 00:00:00,3.1,28.26,106.0,91.0,21.0,1.0,4068.0,57.0
41934,2023-10-14 06:00:00,2024-07-17 00:00:00,3.1,23.02,103.0,89.0,20.0,130.0,4784.0,57.0
41935,2023-10-14 07:00:00,2024-07-17 00:00:00,3.1,20.3,98.0,86.0,19.0,467.0,4890.0,57.0
41936,2023-10-14 08:00:00,2024-07-17 00:00:00,3.1,17.73,91.0,88.0,18.0,820.0,5076.0,57.0
41937,2023-10-14 09:00:00,2024-07-17 00:00:00,3.1,19.69,92.0,89.0,18.0,1068.0,4271.0,57.0
41938,2023-10-14 10:00:00,2024-07-17 00:00:00,3.1,21.51,94.0,89.0,19.0,962.0,3992.0,54.0
41939,2023-10-14 11:00:00,2024-07-17 00:00:00,3.1,21.93,95.0,90.0,19.0,988.0,3918.0,53.0
41940,2023-10-14 12:00:00,2024-07-17 00:00:00,3.1,22.88,99.0,92.0,20.0,967.0,3902.0,51.0
41941,2023-10-14 13:00:00,2024-07-17 00:00:00,3.1,22.42,99.0,92.0,20.0,819.0,4153.0,54.0
41942,2023-10-14 14:00:00,2024-07-17 00:00:00,3.1,19.03,98.0,92.0,19.0,477.0,5368.0,55.0
41943,2023-10-14 15:00:00,2024-07-17 00:00:00,3.1,19.79,97.0,90.0,19.0,135.0,5401.0,56.0
41944,2023-10-14 16:00:00,2024-07-17 00:00:00,3.1,20.86,103.0,86.0,20.0,6.0,5398.0,53.0
41945,2023-10-14 17:00:00,2024-07-17 00:00:00,3.1,21.24,102.0,85.0,20.0,0.0,5253.0,53.0
41946,2023-10-14 18:00:00,2024-07-17 00:00:00,3.1,21.41,97.0,90.0,19.0,0.0,5101.0,52.0
41947,2023-10-14 19:00:00,2024-07-17 00:00:00,3.1,23.5,96.0,93.0,19.0,0.0,4640.0,49.0
41948,2023-10-14 20:00:00,2024-07-17 00:00:00,3.1,23.85,95.0,92.0,19.0,0.0,4521.0,51.0
41949,2023-10-14 21:00:00,2024-07-17 00:00:00,3.1,23.89,93.0,90.0,18.0,0.0,4409.0,49.0
41950,2023-10-14 22:00:00,2024-07-17 00:00:00,3.1,24.74,95.0,90.0,19.0,0.0,4323.0,50.0
41951,2023-10-14 23:00:00,2024-07-17 00:00:00,3.1,27.67,102.0,84.0,20.0,0.0,3960.0,52.0
