Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
39528,2023-07-06 00:00:00,2024-07-17 00:00:00,3.1,75.82,250.0,95.0,25.0,0.0,4260.0,236.0
39529,2023-07-06 01:00:00,2024-07-17 00:00:00,3.1,75.11,265.0,93.0,24.0,0.0,4478.0,241.0
39530,2023-07-06 02:00:00,2024-07-17 00:00:00,3.1,71.25,248.0,89.0,23.0,1.0,4556.0,241.0
39531,2023-07-06 03:00:00,2024-07-17 00:00:00,3.1,72.65,245.0,88.0,23.0,26.0,4520.0,294.0
39532,2023-07-06 04:00:00,2024-07-17 00:00:00,3.1,84.32,310.0,89.0,21.0,132.0,4298.0,304.0
39533,2023-07-06 05:00:00,2024-07-17 00:00:00,3.1,88.06,326.0,91.0,21.0,367.0,4053.0,290.0
39534,2023-07-06 06:00:00,2024-07-17 00:00:00,3.1,74.72,253.0,88.0,20.0,735.0,4092.0,296.0
39535,2023-07-06 07:00:00,2024-07-17 00:00:00,3.1,67.51,237.0,88.0,20.0,1158.0,4390.0,289.0
39536,2023-07-06 08:00:00,2024-07-17 00:00:00,3.1,75.61,313.0,87.0,20.0,1397.0,4442.0,319.0
39537,2023-07-06 09:00:00,2024-07-17 00:00:00,3.1,65.98,230.0,83.0,19.0,1472.0,4401.0,324.0
39538,2023-07-06 10:00:00,2024-07-17 00:00:00,3.1,68.72,243.0,92.0,21.0,1453.0,4337.0,318.0
39539,2023-07-06 11:00:00,2024-07-17 00:00:00,3.1,69.61,250.0,89.0,22.0,1700.0,4186.0,308.0
39540,2023-07-06 12:00:00,2024-07-17 00:00:00,3.1,70.52,247.0,88.0,22.0,1722.0,4136.0,347.0
39541,2023-07-06 13:00:00,2024-07-17 00:00:00,3.1,72.6,246.0,90.0,23.0,1642.0,3923.0,332.0
39542,2023-07-06 14:00:00,2024-07-17 00:00:00,3.1,79.79,283.0,95.0,24.0,1665.0,3687.0,329.0
39543,2023-07-06 15:00:00,2024-07-17 00:00:00,3.1,87.79,304.0,98.0,24.0,1489.0,3399.0,346.0
39544,2023-07-06 16:00:00,2024-07-17 00:00:00,3.1,107.01,350.0,110.0,24.0,1017.0,3042.0,410.0
39545,2023-07-06 17:00:00,2024-07-17 00:00:00,3.1,126.64,351.0,124.0,25.0,511.0,2688.0,494.0
39546,2023-07-06 18:00:00,2024-07-17 00:00:00,3.1,187.34,474.0,156.0,27.0,188.0,2045.0,651.0
39547,2023-07-06 19:00:00,2024-07-17 00:00:00,3.1,248.04,509.0,239.0,51.0,48.0,1481.0,479.0
39548,2023-07-06 20:00:00,2024-07-17 00:00:00,3.1,279.93,482.0,256.0,123.0,2.0,1263.0,390.0
39549,2023-07-06 21:00:00,2024-07-17 00:00:00,3.1,234.62,376.0,143.0,37.0,0.0,1209.0,356.0
39550,2023-07-06 22:00:00,2024-07-17 00:00:00,3.1,199.95,299.0,108.0,25.0,0.0,1263.0,355.0
39551,2023-07-06 23:00:00,2024-07-17 00:00:00,3.1,209.62,342.0,106.0,25.0,0.0,1300.0,428.0
