UTC time,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-09-10 00:00:00,980.0,2818.0,0.0,4.0,0.0,436.0116655549122,495.0,474.0
2023-09-10 01:00:00,813.0,2815.0,0.0,4.0,0.0,395.7940134637068,491.0,542.0
2023-09-10 02:00:00,793.0,2796.0,0.0,4.0,0.0,238.0,505.0,568.0
2023-09-10 03:00:00,819.0,2796.0,0.0,4.0,0.0,368.4165400907361,505.0,564.0
2023-09-10 04:00:00,795.0,2798.0,0.0,4.0,0.0,419.8039068657368,500.0,618.0
2023-09-10 05:00:00,784.0,2798.0,0.0,4.0,114.0,435.7671657063247,501.0,647.0
2023-09-10 06:00:00,770.0,2796.0,0.0,4.0,805.0,406.2088551927712,504.0,651.0
2023-09-10 07:00:00,800.0,2791.0,0.0,4.0,1833.0,366.1896312234774,493.0,612.0
2023-09-10 08:00:00,722.0,2787.0,0.0,4.0,3006.0,324.1326080087388,493.0,590.0
2023-09-10 09:00:00,683.0,2808.0,0.0,4.0,3920.0,271.0442026695796,477.0,610.0
2023-09-10 10:00:00,594.0,2808.0,0.0,4.0,4527.0,271.8334894476016,474.0,582.0
2023-09-10 11:00:00,559.0,2806.0,0.0,4.0,4809.0,179.14187104273725,479.0,548.0
2023-09-10 12:00:00,616.0,2798.0,0.0,5.0,4677.0,64.0,454.0,553.0
2023-09-10 13:00:00,691.0,2793.0,0.0,5.0,4104.0,139.37411081796373,439.0,557.0
2023-09-10 14:00:00,1002.0,2786.0,0.0,5.0,3251.0,133.23381926122732,422.0,586.0
2023-09-10 15:00:00,1618.0,2783.0,0.0,5.0,2139.0,116.0,423.0,604.0
2023-09-10 16:00:00,2126.0,2782.0,0.0,4.0,1065.0,130.22562034594142,428.0,626.0
2023-09-10 17:00:00,2412.0,2783.0,0.0,2.0,236.0,130.8130169549512,444.0,698.0
2023-09-10 18:00:00,2472.0,2785.0,0.0,2.0,0.0,157.8100817772304,470.0,729.0
2023-09-10 19:00:00,2435.0,2787.0,0.0,2.0,0.0,201.0853204230328,490.0,726.0
2023-09-10 20:00:00,2388.0,2790.0,0.0,1.0,0.0,280.1256309402386,490.0,692.0
2023-09-10 21:00:00,2003.0,2794.0,0.0,1.0,0.0,314.6456059637983,480.0,604.0
2023-09-10 22:00:00,1507.0,2800.0,0.0,1.0,0.0,299.8515409221647,477.0,501.0
2023-09-10 23:00:00,1502.0,2803.0,0.0,4.0,0.0,360.63944024676783,471.0,425.0
