datetime,avg_hydro_production_forecast
2023-07-03T00:00:00.000000000,3541.54144
2023-07-03T01:00:00.000000000,4158.10937
2023-07-03T02:00:00.000000000,4512.97814
2023-07-03T03:00:00.000000000,4794.49501
2023-07-03T04:00:00.000000000,5081.84091
2023-07-03T05:00:00.000000000,5130.08255
2023-07-03T06:00:00.000000000,5359.5244
2023-07-03T07:00:00.000000000,5051.54246
2023-07-03T08:00:00.000000000,4425.08227
2023-07-03T09:00:00.000000000,3780.47179
2023-07-03T10:00:00.000000000,3488.37025
2023-07-03T11:00:00.000000000,3115.32741
2023-07-03T12:00:00.000000000,2907.80906
2023-07-03T13:00:00.000000000,2868.61817
2023-07-03T14:00:00.000000000,2847.31931
2023-07-03T15:00:00.000000000,2564.69028
2023-07-03T16:00:00.000000000,2455.756
2023-07-03T17:00:00.000000000,2312.51061
2023-07-03T18:00:00.000000000,2143.49834
2023-07-03T19:00:00.000000000,1636.80435
2023-07-03T20:00:00.000000000,1624.90694
2023-07-03T21:00:00.000000000,1686.31486
2023-07-03T22:00:00.000000000,1992.74909
2023-07-03T23:00:00.000000000,2928.69975
2023-07-04T00:00:00.000000000,3475.64482
2023-07-04T01:00:00.000000000,4069.13013
2023-07-04T02:00:00.000000000,4400.07076
2023-07-04T03:00:00.000000000,4724.56593
2023-07-04T04:00:00.000000000,5090.44712
2023-07-04T05:00:00.000000000,5258.79037
2023-07-04T06:00:00.000000000,5619.64287
2023-07-04T07:00:00.000000000,5401.24103
2023-07-04T08:00:00.000000000,4816.72613
2023-07-04T09:00:00.000000000,4143.39589
2023-07-04T10:00:00.000000000,3763.57278
2023-07-04T11:00:00.000000000,3255.53976
2023-07-04T12:00:00.000000000,2890.93603
2023-07-04T13:00:00.000000000,2748.76921
2023-07-04T14:00:00.000000000,2670.11839
2023-07-04T15:00:00.000000000,2373.11689
2023-07-04T16:00:00.000000000,2299.76739
2023-07-04T17:00:00.000000000,2234.71029
2023-07-04T18:00:00.000000000,2132.0142
2023-07-04T19:00:00.000000000,1660.37629
2023-07-04T20:00:00.000000000,1688.71027
2023-07-04T21:00:00.000000000,1758.60157
2023-07-04T22:00:00.000000000,2035.91808
2023-07-04T23:00:00.000000000,2913.69725
2023-07-05T00:00:00.000000000,3446.43975
2023-07-05T01:00:00.000000000,3996.30832
2023-07-05T02:00:00.000000000,4288.61334
2023-07-05T03:00:00.000000000,4640.53062
2023-07-05T04:00:00.000000000,5070.64539
2023-07-05T05:00:00.000000000,5345.73279
2023-07-05T06:00:00.000000000,5823.51874
2023-07-05T07:00:00.000000000,5694.77774
2023-07-05T08:00:00.000000000,5160.85352
2023-07-05T09:00:00.000000000,4476.54924
2023-07-05T10:00:00.000000000,4025.95354
2023-07-05T11:00:00.000000000,3403.62975
2023-07-05T12:00:00.000000000,2898.05071
2023-07-05T13:00:00.000000000,2657.99122
2023-07-05T14:00:00.000000000,2522.7102
2023-07-05T15:00:00.000000000,2213.55694
2023-07-05T16:00:00.000000000,2176.13163
2023-07-05T17:00:00.000000000,2188.18844
2023-07-05T18:00:00.000000000,2157.51862
2023-07-05T19:00:00.000000000,1733.44915
2023-07-05T20:00:00.000000000,1804.65688
2023-07-05T21:00:00.000000000,1887.66578
2023-07-05T22:00:00.000000000,2136.33249
2023-07-05T23:00:00.000000000,2946.46666
2023-07-06T00:00:00.000000000,3377.6652
2023-07-06T01:00:00.000000000,3885.8971
2023-07-06T02:00:00.000000000,4146.39216
2023-07-06T03:00:00.000000000,4529.92512
2023-07-06T04:00:00.000000000,5028.98193
2023-07-06T05:00:00.000000000,5415.29968
2023-07-06T06:00:00.000000000,6009.91633
2023-07-06T07:00:00.000000000,5971.20756
2023-07-06T08:00:00.000000000,5489.8153
2023-07-06T09:00:00.000000000,4796.07529
2023-07-06T10:00:00.000000000,4279.47184
2023-07-06T11:00:00.000000000,3547.26372
2023-07-06T12:00:00.000000000,2907.94938
2023-07-06T13:00:00.000000000,2577.7733
2023-07-06T14:00:00.000000000,2394.51289
2023-07-06T15:00:00.000000000,2080.68934
2023-07-06T16:00:00.000000000,2079.46684
2023-07-06T17:00:00.000000000,2165.38806
2023-07-06T18:00:00.000000000,2202.70663
2023-07-06T19:00:00.000000000,1818.31557
2023-07-06T20:00:00.000000000,1916.33237
2023-07-06T21:00:00.000000000,2001.41667
2023-07-06T22:00:00.000000000,2212.70944
2023-07-06T23:00:00.000000000,2946.9128
