datetime,avg_nat_gas_production_forecast
2023-06-23T00:00:00.000000000,7078.38042
2023-06-23T01:00:00.000000000,7916.26026
2023-06-23T02:00:00.000000000,8918.89068
2023-06-23T03:00:00.000000000,9456.69338
2023-06-23T04:00:00.000000000,9721.65888
2023-06-23T05:00:00.000000000,9675.83816
2023-06-23T06:00:00.000000000,9270.08433
2023-06-23T07:00:00.000000000,8462.06503
2023-06-23T08:00:00.000000000,7762.61739
2023-06-23T09:00:00.000000000,7216.20331
2023-06-23T10:00:00.000000000,6930.63812
2023-06-23T11:00:00.000000000,6790.78307
2023-06-23T12:00:00.000000000,6559.15055
2023-06-23T13:00:00.000000000,6471.74925
2023-06-23T14:00:00.000000000,6340.16
2023-06-23T15:00:00.000000000,6327.06371
2023-06-23T16:00:00.000000000,6277.58109
2023-06-23T17:00:00.000000000,6048.85225
2023-06-23T18:00:00.000000000,5882.45753
2023-06-23T19:00:00.000000000,5707.83226
2023-06-23T20:00:00.000000000,5692.83909
2023-06-23T21:00:00.000000000,5834.58003
2023-06-23T22:00:00.000000000,6331.05186
2023-06-23T23:00:00.000000000,7052.69181
2023-06-24T00:00:00.000000000,8222.3577
2023-06-24T01:00:00.000000000,8705.25466
2023-06-24T02:00:00.000000000,9424.1084
2023-06-24T03:00:00.000000000,9826.6035
2023-06-24T04:00:00.000000000,10055.25011
2023-06-24T05:00:00.000000000,10090.3375
2023-06-24T06:00:00.000000000,9877.72003
2023-06-24T07:00:00.000000000,9275.63781
2023-06-24T08:00:00.000000000,8765.83135
2023-06-24T09:00:00.000000000,8283.97263
2023-06-24T10:00:00.000000000,7981.52042
2023-06-24T11:00:00.000000000,7774.60496
2023-06-24T12:00:00.000000000,7480.83687
2023-06-24T13:00:00.000000000,7307.44309
2023-06-24T14:00:00.000000000,7109.3656
2023-06-24T15:00:00.000000000,7051.31784
2023-06-24T16:00:00.000000000,7063.71236
2023-06-24T17:00:00.000000000,7005.66005
2023-06-24T18:00:00.000000000,7067.36592
2023-06-24T19:00:00.000000000,7105.97349
2023-06-24T20:00:00.000000000,7224.4638
2023-06-24T21:00:00.000000000,7377.49585
2023-06-24T22:00:00.000000000,7830.58381
2023-06-24T23:00:00.000000000,8394.71778
2023-06-25T00:00:00.000000000,9197.22983
2023-06-25T01:00:00.000000000,9550.59926
2023-06-25T02:00:00.000000000,10195.11388
2023-06-25T03:00:00.000000000,10583.88747
2023-06-25T04:00:00.000000000,10821.56378
2023-06-25T05:00:00.000000000,10901.34573
2023-06-25T06:00:00.000000000,10749.36936
2023-06-25T07:00:00.000000000,10174.16633
2023-06-25T08:00:00.000000000,9680.07981
2023-06-25T09:00:00.000000000,9166.43563
2023-06-25T10:00:00.000000000,8801.30523
2023-06-25T11:00:00.000000000,8532.04428
2023-06-25T12:00:00.000000000,8200.14986
2023-06-25T13:00:00.000000000,7995.24193
2023-06-25T14:00:00.000000000,7795.84579
2023-06-25T15:00:00.000000000,7757.32082
2023-06-25T16:00:00.000000000,7835.24454
2023-06-25T17:00:00.000000000,7882.11563
2023-06-25T18:00:00.000000000,8067.86908
2023-06-25T19:00:00.000000000,8208.0049
2023-06-25T20:00:00.000000000,8374.98354
2023-06-25T21:00:00.000000000,8500.01252
2023-06-25T22:00:00.000000000,8934.30369
2023-06-25T23:00:00.000000000,9425.84083
2023-06-26T00:00:00.000000000,10094.02744
2023-06-26T01:00:00.000000000,10733.10983
2023-06-26T02:00:00.000000000,11580.29523
2023-06-26T03:00:00.000000000,11998.846
2023-06-26T04:00:00.000000000,12132.26885
2023-06-26T05:00:00.000000000,12044.26582
2023-06-26T06:00:00.000000000,11683.52409
2023-06-26T07:00:00.000000000,10924.20456
2023-06-26T08:00:00.000000000,10323.32352
2023-06-26T09:00:00.000000000,9833.09064
2023-06-26T10:00:00.000000000,9527.64797
2023-06-26T11:00:00.000000000,9342.36212
2023-06-26T12:00:00.000000000,9015.4437
2023-06-26T13:00:00.000000000,8756.74253
2023-06-26T14:00:00.000000000,8411.0296
2023-06-26T15:00:00.000000000,8198.18477
2023-06-26T16:00:00.000000000,8034.85136
2023-06-26T17:00:00.000000000,7832.8346
2023-06-26T18:00:00.000000000,7832.9119
2023-06-26T19:00:00.000000000,7899.76504
2023-06-26T20:00:00.000000000,8122.44137
2023-06-26T21:00:00.000000000,8417.77213
2023-06-26T22:00:00.000000000,9160.3115
2023-06-26T23:00:00.000000000,9970.03746
