datetime,avg_coal_production_forecast
2023-06-27T00:00:00.000000000,3.68697
2023-06-27T01:00:00.000000000,3.78778
2023-06-27T02:00:00.000000000,3.94306
2023-06-27T03:00:00.000000000,3.91895
2023-06-27T04:00:00.000000000,4.29446
2023-06-27T05:00:00.000000000,4.35834
2023-06-27T06:00:00.000000000,4.36437
2023-06-27T07:00:00.000000000,4.22745
2023-06-27T08:00:00.000000000,4.34144
2023-06-27T09:00:00.000000000,4.3093
2023-06-27T10:00:00.000000000,4.22568
2023-06-27T11:00:00.000000000,4.15123
2023-06-27T12:00:00.000000000,4.28586
2023-06-27T13:00:00.000000000,4.21899
2023-06-27T14:00:00.000000000,4.51711
2023-06-27T15:00:00.000000000,4.45847
2023-06-27T16:00:00.000000000,4.35074
2023-06-27T17:00:00.000000000,4.11803
2023-06-27T18:00:00.000000000,4.14616
2023-06-27T19:00:00.000000000,3.95119
2023-06-27T20:00:00.000000000,4.16636
2023-06-27T21:00:00.000000000,4.26503
2023-06-27T22:00:00.000000000,4.21951
2023-06-27T23:00:00.000000000,4.40533
2023-06-28T00:00:00.000000000,4.17241
2023-06-28T01:00:00.000000000,4.26708
2023-06-28T02:00:00.000000000,4.42034
2023-06-28T03:00:00.000000000,4.38815
2023-06-28T04:00:00.000000000,4.75398
2023-06-28T05:00:00.000000000,4.82125
2023-06-28T06:00:00.000000000,4.83776
2023-06-28T07:00:00.000000000,4.68145
2023-06-28T08:00:00.000000000,4.79539
2023-06-28T09:00:00.000000000,4.75746
2023-06-28T10:00:00.000000000,4.6698
2023-06-28T11:00:00.000000000,4.5968
2023-06-28T12:00:00.000000000,4.72532
2023-06-28T13:00:00.000000000,4.64072
2023-06-28T14:00:00.000000000,4.9338
2023-06-28T15:00:00.000000000,4.88253
2023-06-28T16:00:00.000000000,4.77389
2023-06-28T17:00:00.000000000,4.53658
2023-06-28T18:00:00.000000000,4.58501
2023-06-28T19:00:00.000000000,4.38475
2023-06-28T20:00:00.000000000,4.59337
2023-06-28T21:00:00.000000000,4.69276
2023-06-28T22:00:00.000000000,4.64875
2023-06-28T23:00:00.000000000,4.83244
2023-06-29T00:00:00.000000000,4.63064
2023-06-29T01:00:00.000000000,4.71951
2023-06-29T02:00:00.000000000,4.87086
2023-06-29T03:00:00.000000000,4.83105
2023-06-29T04:00:00.000000000,5.18773
2023-06-29T05:00:00.000000000,5.25821
2023-06-29T06:00:00.000000000,5.28462
2023-06-29T07:00:00.000000000,5.11
2023-06-29T08:00:00.000000000,5.22389
2023-06-29T09:00:00.000000000,5.1805
2023-06-29T10:00:00.000000000,5.08903
2023-06-29T11:00:00.000000000,5.01739
2023-06-29T12:00:00.000000000,5.14015
2023-06-29T13:00:00.000000000,5.03882
2023-06-29T14:00:00.000000000,5.32714
2023-06-29T15:00:00.000000000,5.28282
2023-06-29T16:00:00.000000000,5.17333
2023-06-29T17:00:00.000000000,4.93166
2023-06-29T18:00:00.000000000,4.99927
2023-06-29T19:00:00.000000000,4.79402
2023-06-29T20:00:00.000000000,4.99644
2023-06-29T21:00:00.000000000,5.09652
2023-06-29T22:00:00.000000000,5.05392
2023-06-29T23:00:00.000000000,5.23562
2023-06-30T00:00:00.000000000,5.06349
2023-06-30T01:00:00.000000000,5.14687
2023-06-30T02:00:00.000000000,5.29642
2023-06-30T03:00:00.000000000,5.24941
2023-06-30T04:00:00.000000000,5.59746
2023-06-30T05:00:00.000000000,5.67096
2023-06-30T06:00:00.000000000,5.70672
2023-06-30T07:00:00.000000000,5.51481
2023-06-30T08:00:00.000000000,5.62865
2023-06-30T09:00:00.000000000,5.5801
2023-06-30T10:00:00.000000000,5.48504
2023-06-30T11:00:00.000000000,5.41469
2023-06-30T12:00:00.000000000,5.532
2023-06-30T13:00:00.000000000,5.41486
2023-06-30T14:00:00.000000000,5.69868
2023-06-30T15:00:00.000000000,5.66094
2023-06-30T16:00:00.000000000,5.55063
2023-06-30T17:00:00.000000000,5.30486
2023-06-30T18:00:00.000000000,5.39057
2023-06-30T19:00:00.000000000,5.18061
2023-06-30T20:00:00.000000000,5.37718
2023-06-30T21:00:00.000000000,5.47791
2023-06-30T22:00:00.000000000,5.43665
2023-06-30T23:00:00.000000000,5.61645
