Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
39600,2023-07-09 00:00:00,182.93,313.0,87.0,21.0,0.0,457.0,645.0
39601,2023-07-09 01:00:00,202.59,364.0,90.0,22.0,0.0,459.0,639.0
39602,2023-07-09 02:00:00,230.92,434.0,109.0,25.0,2.0,449.0,628.0
39603,2023-07-09 03:00:00,207.47,403.0,130.0,26.0,61.0,522.0,617.0
39604,2023-07-09 04:00:00,180.57,386.0,125.0,25.0,228.0,554.0,619.0
39605,2023-07-09 05:00:00,132.45,323.0,86.0,20.0,602.0,524.0,600.0
39606,2023-07-09 06:00:00,82.17,231.0,85.0,20.0,1167.0,524.0,591.0
39607,2023-07-09 07:00:00,66.35,223.0,84.0,20.0,1690.0,574.0,554.0
39608,2023-07-09 08:00:00,57.17,223.0,83.0,20.0,2118.0,734.0,466.0
39609,2023-07-09 09:00:00,57.16,255.0,82.0,20.0,2383.0,896.0,427.0
39610,2023-07-09 10:00:00,56.69,264.0,82.0,20.0,2460.0,953.0,439.0
39611,2023-07-09 11:00:00,58.43,276.0,85.0,20.0,2460.0,995.0,431.0
39612,2023-07-09 12:00:00,59.7,280.0,84.0,20.0,2365.0,1029.0,443.0
39613,2023-07-09 13:00:00,65.09,295.0,84.0,20.0,2126.0,1085.0,437.0
39614,2023-07-09 14:00:00,71.25,297.0,84.0,20.0,1632.0,1146.0,539.0
39615,2023-07-09 15:00:00,67.67,257.0,83.0,20.0,1289.0,1198.0,613.0
39616,2023-07-09 16:00:00,103.23,358.0,83.0,19.0,823.0,1142.0,583.0
39617,2023-07-09 17:00:00,138.24,396.0,86.0,20.0,431.0,952.0,581.0
39618,2023-07-09 18:00:00,179.66,409.0,90.0,21.0,154.0,696.0,593.0
39619,2023-07-09 19:00:00,202.17,424.0,89.0,21.0,22.0,651.0,592.0
39620,2023-07-09 20:00:00,160.85,353.0,87.0,21.0,0.0,849.0,611.0
39621,2023-07-09 21:00:00,181.25,382.0,82.0,20.0,0.0,728.0,602.0
39622,2023-07-09 22:00:00,209.22,401.0,135.0,24.0,0.0,560.0,622.0
39623,2023-07-09 23:00:00,211.33,394.0,105.0,22.0,0.0,506.0,616.0
