Region: AECI, Mode: lifecycle
No overlapping hours between 96h and 168h datasets. Showing per-file metrics over their own periods:
Overall (full period):
  96h:  count=17376, MAE=35.44, RMSE=45.81, MAPE=5.60%
  168h: count=2016, MAE=40.50, RMSE=50.83, MAPE=6.57%
Hour-of-day average MAPE:
  00: 96h=4.05%  |  168h=6.98%
  01: 96h=4.43%  |  168h=7.18%
  02: 96h=4.86%  |  168h=6.55%
  03: 96h=5.25%  |  168h=6.35%
  04: 96h=6.00%  |  168h=6.85%
  05: 96h=6.73%  |  168h=5.88%
  06: 96h=7.18%  |  168h=6.20%
  07: 96h=7.51%  |  168h=7.13%
  08: 96h=7.78%  |  168h=6.66%
  09: 96h=7.51%  |  168h=7.24%
  10: 96h=7.25%  |  168h=6.33%
  11: 96h=6.90%  |  168h=5.40%
  12: 96h=6.54%  |  168h=6.61%
  13: 96h=6.15%  |  168h=5.36%
  14: 96h=5.58%  |  168h=6.44%
  15: 96h=4.97%  |  168h=8.34%
  16: 96h=4.53%  |  168h=6.91%
  17: 96h=4.44%  |  168h=5.73%
  18: 96h=4.51%  |  168h=4.64%
  19: 96h=4.45%  |  168h=6.62%
  20: 96h=4.56%  |  168h=7.55%
  21: 96h=4.53%  |  168h=6.50%
  22: 96h=4.43%  |  168h=6.38%
  23: 96h=4.29%  |  168h=7.95%
Day-ahead buckets D1..D4 (avg MAPE across days):
  D1: 96h=5.67%  |  168h=6.31%
