Region: AECI, Mode: direct
No overlapping hours between 96h and 168h datasets. Showing per-file metrics over their own periods:
Overall (full period):
  96h:  count=17376, MAE=38.17, RMSE=49.46, MAPE=6.82%
  168h: count=2016, MAE=49.06, RMSE=60.35, MAPE=8.90%
Hour-of-day average MAPE:
  00: 96h=5.18%  |  168h=10.05%
  01: 96h=5.44%  |  168h=10.63%
  02: 96h=5.78%  |  168h=10.61%
  03: 96h=6.28%  |  168h=10.22%
  04: 96h=6.69%  |  168h=10.19%
  05: 96h=7.35%  |  168h=9.91%
  06: 96h=8.12%  |  168h=10.38%
  07: 96h=8.57%  |  168h=9.36%
  08: 96h=8.98%  |  168h=9.62%
  09: 96h=8.86%  |  168h=10.18%
  10: 96h=8.82%  |  168h=8.46%
  11: 96h=8.50%  |  168h=6.05%
  12: 96h=7.97%  |  168h=6.16%
  13: 96h=7.49%  |  168h=6.49%
  14: 96h=6.87%  |  168h=6.85%
  15: 96h=6.27%  |  168h=10.01%
  16: 96h=5.86%  |  168h=7.92%
  17: 96h=5.84%  |  168h=8.89%
  18: 96h=5.88%  |  168h=8.70%
  19: 96h=5.76%  |  168h=10.55%
  20: 96h=5.84%  |  168h=7.74%
  21: 96h=5.73%  |  168h=8.36%
  22: 96h=5.81%  |  168h=8.33%
  23: 96h=5.73%  |  168h=7.98%
Day-ahead buckets D1..D4 (avg MAPE across days):
  D1: 96h=6.88%  |  168h=8.81%
