datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2022-01-01 00:00:00,2.229124355025,265.382810645256,262.238118165937,0.0,1.150666976873,1859.09278,111.60801,249.94963
2022-01-01 01:00:00,4.507672637762,265.866809919689,258.853176863012,0.0,0.028230230388,1865.55564,138.40381,253.30562
2022-01-01 02:00:00,3.453310295109,263.049742632871,257.434493781008,0.0,0.003083189544,1854.82193,147.87568,257.2317
2022-01-01 03:00:00,2.868070603732,264.691419658576,261.496968509946,0.0,1.110838772715,1838.87813,144.48602,249.36601
2022-01-01 04:00:00,3.022157913991,266.597488475325,263.251493557619,0.0,0.108017285932,1832.87561,174.74587,238.21637
2022-01-01 05:00:00,4.238886748888,264.364164327879,259.324043232895,0.0,0.026306000206,1781.61845,172.4692,229.54174
2022-01-01 06:00:00,6.405401728729,267.90529948983,262.850155050435,0.0,0.046086976617,1739.09804,183.8421,228.04162
2022-01-01 07:00:00,4.36473767136,270.086252875803,264.635146585588,28.103793035697,0.037192865463,1716.17591,171.76058,219.06487
2022-01-01 08:00:00,3.25896791474,264.421502161361,258.648075127968,36.300913912012,0.069414360799,1699.82143,194.50246,210.03085
2022-01-01 09:00:00,3.226231707394,266.171546388313,258.305084505169,55.043634952949,0.000141394756,1709.60193,186.32997,206.50046
2022-01-01 10:00:00,0.5,265.277950866859,261.418671569416,87.402825928837,0.034334980812,1701.65645,200.75882,203.79113
2022-01-01 11:00:00,3.652777376097,263.446996032814,259.379266784101,115.605039979189,0.145638384469,1693.11877,187.04915,194.05627
2022-01-01 12:00:00,1.869204853103,269.948081591652,264.973390543119,84.129835523592,0.014531971497,1696.15774,206.67109,192.39968
2022-01-01 13:00:00,4.690798624108,268.005330867396,260.748465057337,71.498683108002,0.059404768346,1738.47432,204.96801,184.86097
2022-01-01 14:00:00,4.150835699551,258.494256815887,250.905467432029,75.650404474361,0.020339914551,1767.42199,194.3542,178.44479
2022-01-01 15:00:00,3.337416308928,262.574727922835,256.240324993204,71.365958911503,0.243140290726,1838.86272,196.65167,181.76183
