datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-05 00:00:00,2.979879311251664,298.2254067888265,295.205546314518,0.7909661657672206,0.9208146574446064,2267.75273,451.52322,0.95092,75.98733,10521.04978,43111.27621
2023-08-05 01:00:00,2.979879311251664,298.2254067888265,295.205546314518,0.7909661657672206,0.9208146574446064,2245.76194,421.63545,0.15366,72.14715,5290.66995,21685.6239
2023-08-05 02:00:00,2.979879311251664,298.2254067888265,295.205546314518,0.7909661657672206,0.9208146574446064,2141.27842,400.29871,0.0,63.12024,712.93004,2933.43631
2023-08-05 03:00:00,2.979879311251664,298.2254067888265,295.205546314518,0.7909661657672206,0.9208146574446064,2023.62368,400.65183,0.06076,43.03379,2.59,23.60964
2023-08-05 04:00:00,2.819428035289878,297.369760290275,294.83190047333085,0.7909661657672206,0.9208146574446064,1902.1511,399.32363,0.00575,20.41485,0.0,13.0
2023-08-05 05:00:00,2.819428035289878,297.369760290275,294.83190047333085,0.7909661657672206,0.9208146574446064,1767.03431,386.62514,0.02177,4.67612,0.0,13.0
2023-08-05 06:00:00,2.819428035289878,297.369760290275,294.83190047333085,0.7909661657672206,0.9208146574446064,1619.51765,403.24905,0.01927,0.0,0.0,13.0
2023-08-05 07:00:00,2.8537708483291864,296.71795556168155,294.4629706695636,0.3956343231359013,1.7102984303623336,1540.88339,403.96686,0.01313,0.0,0.0,13.0
2023-08-05 08:00:00,2.8537708483291864,296.71795556168155,294.4629706695636,0.3956343231359013,1.7102984303623336,1514.92359,399.71385,0.00519,0.0,0.0,13.0
2023-08-05 09:00:00,2.8537708483291864,296.71795556168155,294.4629706695636,0.3956343231359013,1.7102984303623336,1439.85033,407.18802,0.04229,0.0,0.0,13.0
2023-08-05 10:00:00,2.961916462828891,297.3886733970799,294.5268193610375,0.0,2.233227422693954,1344.88302,415.32206,0.10879,4.66871,0.0,13.0
2023-08-05 11:00:00,2.961916462828891,297.3886733970799,294.5268193610375,0.0,2.233227422693954,1296.36463,434.07702,0.07219,9.37645,0.0,13.0
2023-08-05 12:00:00,2.961916462828891,297.3886733970799,294.5268193610375,0.0,2.233227422693954,1346.4253,447.27108,0.0,14.29046,0.23,13.94217
2023-08-05 13:00:00,2.9237441619389672,301.70159356605217,294.081364584256,17.78323303985729,2.560740624610629,1413.08245,475.91136,0.56649,16.29787,1477.59007,6065.77859
2023-08-05 14:00:00,2.9237441619389672,301.70159356605217,294.081364584256,17.78323303985729,2.560740624610629,1444.12972,501.55804,0.3057,17.26913,6563.44005,26899.38092
