UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,other
2023-08-13 00:00:00,2023-08-15 01:14:24,3.0,2329.0,859.0,0.0,102.0,10.0,58.0
2023-08-13 01:00:00,2023-08-15 01:14:24,3.0,2315.0,917.0,0.0,72.0,0.0,54.0
2023-08-13 02:00:00,2023-08-15 01:14:24,3.0,2378.0,857.0,0.0,13.0,0.0,56.0
2023-08-13 03:00:00,2023-08-15 01:14:24,3.0,2346.0,733.0,0.0,1.0,0.0,61.0
2023-08-13 04:00:00,2023-08-15 01:14:24,3.0,2126.0,688.0,0.0,2.0,0.0,60.0
2023-08-13 05:00:00,2023-08-15 01:14:24,3.0,1895.0,688.0,0.0,1.0,0.0,66.0
2023-08-13 06:00:00,2023-08-15 01:14:24,3.0,1775.0,656.0,0.0,2.0,0.0,59.0
2023-08-13 07:00:00,2023-08-15 01:14:24,3.0,1655.0,641.0,0.0,1.0,0.0,58.0
2023-08-13 08:00:00,2023-08-15 01:14:24,3.0,1543.0,637.0,0.0,2.0,0.0,58.0
2023-08-13 09:00:00,2023-08-15 01:14:24,3.0,1380.0,638.0,0.0,1.0,0.0,58.0
2023-08-13 10:00:00,2023-08-15 01:14:24,3.0,1385.0,641.0,0.0,2.0,0.0,59.0
2023-08-13 11:00:00,2023-08-15 01:14:24,3.0,1378.0,677.0,0.0,1.0,0.0,59.0
2023-08-13 12:00:00,2023-08-15 01:14:24,3.0,1379.0,645.0,0.0,2.0,36.0,58.0
2023-08-13 13:00:00,2023-08-15 01:14:24,3.0,1428.0,719.0,0.0,1.0,139.0,58.0
2023-08-13 14:00:00,2023-08-15 01:14:24,3.0,1783.0,711.0,0.0,1.0,195.0,57.0
2023-08-13 15:00:00,2023-08-15 01:14:24,3.0,2168.0,704.0,0.0,2.0,206.0,55.0
2023-08-13 16:00:00,2023-08-15 01:14:24,3.0,2513.0,695.0,0.0,2.0,212.0,59.0
2023-08-13 17:00:00,2023-08-15 01:14:24,3.0,2654.0,685.0,0.0,1.0,212.0,58.0
2023-08-13 18:00:00,2023-08-15 01:14:24,3.0,2664.0,723.0,0.0,60.0,209.0,55.0
2023-08-13 19:00:00,2023-08-15 01:14:24,3.0,2581.0,770.0,0.0,74.0,205.0,49.0
2023-08-13 20:00:00,2023-08-15 01:14:24,3.0,2553.0,845.0,0.0,74.0,200.0,44.0
2023-08-13 21:00:00,2023-08-15 01:14:24,3.0,2546.0,845.0,0.0,118.0,193.0,44.0
2023-08-13 22:00:00,2023-08-15 01:14:24,3.0,2544.0,843.0,0.0,157.0,171.0,43.0
2023-08-13 23:00:00,2023-08-15 01:14:24,3.0,2593.0,819.0,0.0,152.0,107.0,42.0
