,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-08-05 00:00:00,665.99,2368.0,484.0,0.0,72.0,38.0,67.0
1,2023-08-05 01:00:00,679.77,2354.0,425.0,0.0,74.0,0.0,66.0
2,2023-08-05 02:00:00,676.81,2258.0,428.0,0.0,73.0,0.0,70.0
3,2023-08-05 03:00:00,673.7,2074.0,405.0,0.0,73.0,0.0,69.0
4,2023-08-05 04:00:00,676.74,1833.0,393.0,0.0,37.0,0.0,69.0
5,2023-08-05 05:00:00,682.16,1694.0,394.0,0.0,2.0,0.0,70.0
6,2023-08-05 06:00:00,674.02,1492.0,396.0,0.0,2.0,0.0,66.0
7,2023-08-05 07:00:00,667.7,1390.0,405.0,0.0,2.0,0.0,69.0
8,2023-08-05 08:00:00,658.11,1286.0,432.0,0.0,1.0,0.0,71.0
9,2023-08-05 09:00:00,657.55,1220.0,410.0,0.0,2.0,0.0,70.0
10,2023-08-05 10:00:00,658.96,1220.0,402.0,0.0,2.0,0.0,69.0
11,2023-08-05 11:00:00,656.53,1223.0,418.0,0.0,2.0,0.0,67.0
12,2023-08-05 12:00:00,639.36,1267.0,457.0,0.0,2.0,38.0,65.0
13,2023-08-05 13:00:00,612.71,1293.0,418.0,0.0,1.0,140.0,69.0
14,2023-08-05 14:00:00,602.82,1459.0,464.0,0.0,2.0,196.0,70.0
15,2023-08-05 15:00:00,619.88,1726.0,479.0,0.0,2.0,190.0,70.0
16,2023-08-05 16:00:00,631.46,1902.0,454.0,0.0,2.0,191.0,69.0
17,2023-08-05 17:00:00,619.4,1922.0,572.0,0.0,2.0,199.0,69.0
18,2023-08-05 18:00:00,616.99,2007.0,591.0,0.0,21.0,203.0,68.0
19,2023-08-05 19:00:00,610.16,2128.0,644.0,0.0,71.0,194.0,71.0
20,2023-08-05 20:00:00,611.14,2189.0,679.0,0.0,74.0,187.0,72.0
21,2023-08-05 21:00:00,609.15,2200.0,708.0,0.0,72.0,191.0,69.0
22,2023-08-05 22:00:00,614.68,2282.0,691.0,0.0,72.0,188.0,69.0
23,2023-08-05 23:00:00,626.85,2268.0,659.0,0.0,72.0,134.0,69.0
