,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-08-17 00:00:00,2023-08-18 22:28:40,3.0,692.08,2089.0,838.0,0.0,120.0,28.0,51.0
1,2023-08-17 01:00:00,2023-08-18 22:28:40,3.0,704.86,2034.0,870.0,0.0,69.0,0.0,58.0
2,2023-08-17 02:00:00,2023-08-18 22:28:40,3.0,712.55,2036.0,868.0,0.0,36.0,0.0,64.0
3,2023-08-17 03:00:00,2023-08-18 22:28:40,3.0,720.92,1865.0,794.0,0.0,0.0,0.0,69.0
4,2023-08-17 04:00:00,2023-08-18 22:28:40,3.0,712.19,1558.0,752.0,0.0,0.0,0.0,73.0
5,2023-08-17 05:00:00,2023-08-18 22:28:40,3.0,701.11,1336.0,752.0,0.0,0.0,0.0,72.0
6,2023-08-17 06:00:00,2023-08-18 22:28:40,3.0,694.29,1204.0,743.0,0.0,0.0,0.0,75.0
7,2023-08-17 07:00:00,2023-08-18 22:28:40,3.0,704.58,1200.0,644.0,0.0,0.0,0.0,70.0
8,2023-08-17 08:00:00,2023-08-18 22:28:40,3.0,702.8,1171.0,644.0,0.0,0.0,0.0,74.0
9,2023-08-17 09:00:00,2023-08-18 22:28:40,3.0,702.35,1162.0,643.0,0.0,0.0,0.0,70.0
10,2023-08-17 10:00:00,2023-08-18 22:28:40,3.0,705.18,1214.0,646.0,0.0,0.0,0.0,74.0
11,2023-08-17 11:00:00,2023-08-18 22:28:40,3.0,706.6,1280.0,668.0,0.0,0.0,0.0,70.0
12,2023-08-17 12:00:00,2023-08-18 22:28:40,3.0,696.75,1272.0,731.0,0.0,0.0,9.0,71.0
13,2023-08-17 13:00:00,2023-08-18 22:28:40,3.0,691.4,1362.0,770.0,0.0,0.0,32.0,72.0
14,2023-08-17 14:00:00,2023-08-18 22:28:40,3.0,697.82,1657.0,755.0,0.0,0.0,70.0,70.0
15,2023-08-17 15:00:00,2023-08-18 22:28:40,3.0,694.43,1920.0,708.0,0.0,0.0,149.0,72.0
16,2023-08-17 16:00:00,2023-08-18 22:28:40,3.0,693.84,1998.0,739.0,0.0,0.0,157.0,71.0
17,2023-08-17 17:00:00,2023-08-18 22:28:40,3.0,697.34,2176.0,747.0,0.0,0.0,172.0,68.0
18,2023-08-17 18:00:00,2023-08-18 22:28:40,3.0,681.09,2196.0,777.0,0.0,69.0,177.0,71.0
19,2023-08-17 19:00:00,2023-08-18 22:28:40,3.0,679.67,2198.0,786.0,0.0,69.0,182.0,69.0
20,2023-08-17 20:00:00,2023-08-18 22:28:40,3.0,677.47,2191.0,793.0,0.0,69.0,190.0,73.0
21,2023-08-17 21:00:00,2023-08-18 22:28:40,3.0,674.39,2211.0,732.0,0.0,118.0,178.0,70.0
22,2023-08-17 22:00:00,2023-08-18 22:28:40,3.0,671.53,2216.0,702.0,0.0,154.0,166.0,76.0
23,2023-08-17 23:00:00,2023-08-18 22:28:40,3.0,684.44,2232.0,710.0,0.0,153.0,101.0,71.0
