UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,other
2023-08-11 00:00:00,2023-08-13 18:27:37,3.0,2241.0,787.0,0.0,182.0,35.0,74.0
2023-08-11 01:00:00,2023-08-13 18:27:37,3.0,2277.0,803.0,0.0,77.0,1.0,72.0
2023-08-11 02:00:00,2023-08-13 18:27:37,3.0,2260.0,803.0,0.0,2.0,0.0,71.0
2023-08-11 03:00:00,2023-08-13 18:27:37,3.0,2067.0,722.0,0.0,2.0,0.0,75.0
2023-08-11 04:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 05:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 06:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 07:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 08:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 09:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 10:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 11:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 12:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 13:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 14:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 15:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 16:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 17:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 18:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 19:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 20:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 21:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 22:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
2023-08-11 23:00:00,2023-08-13 18:27:37,3.0,1731.0,682.0,0.0,1.0,0.0,72.0
