,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2023-08-01 00:00:00,718.73,2317.0,628.0,0.0,104.0,26.0,65.0
1,2023-08-01 01:00:00,734.64,2253.0,562.0,0.0,73.0,1.0,65.0
2,2023-08-01 02:00:00,740.38,2135.0,517.0,0.0,53.0,0.0,64.0
3,2023-08-01 03:00:00,758.82,2077.0,456.0,0.0,1.0,0.0,64.0
4,2023-08-01 04:00:00,766.6,1993.0,364.0,0.0,2.0,0.0,64.0
5,2023-08-01 05:00:00,777.16,1823.0,249.0,0.0,2.0,0.0,66.0
6,2023-08-01 06:00:00,767.63,1496.0,261.0,0.0,2.0,0.0,65.0
7,2023-08-01 07:00:00,770.93,1371.0,218.0,0.0,2.0,0.0,64.0
8,2023-08-01 08:00:00,769.98,1320.0,214.0,0.0,2.0,0.0,66.0
9,2023-08-01 09:00:00,765.03,1216.0,225.0,0.0,1.0,0.0,65.0
10,2023-08-01 10:00:00,762.53,1223.0,238.0,0.0,2.0,0.0,63.0
11,2023-08-01 11:00:00,769.59,1467.0,243.0,0.0,2.0,0.0,65.0
12,2023-08-01 12:00:00,766.59,1583.0,223.0,0.0,2.0,24.0,61.0
13,2023-08-01 13:00:00,736.51,1712.0,237.0,0.0,2.0,117.0,60.0
14,2023-08-01 14:00:00,727.39,1927.0,253.0,0.0,1.0,170.0,62.0
15,2023-08-01 15:00:00,729.12,2173.0,249.0,0.0,2.0,197.0,60.0
16,2023-08-01 16:00:00,730.09,2295.0,281.0,0.0,2.0,198.0,60.0
17,2023-08-01 17:00:00,718.0,2299.0,285.0,0.0,40.0,209.0,61.0
18,2023-08-01 18:00:00,716.38,2319.0,284.0,0.0,85.0,173.0,61.0
19,2023-08-01 19:00:00,716.46,2336.0,257.0,0.0,99.0,170.0,59.0
20,2023-08-01 20:00:00,708.81,2338.0,277.0,0.0,143.0,152.0,61.0
21,2023-08-01 21:00:00,698.88,2343.0,342.0,0.0,183.0,136.0,64.0
22,2023-08-01 22:00:00,705.56,2364.0,344.0,0.0,183.0,108.0,59.0
23,2023-08-01 23:00:00,709.87,2390.0,355.0,0.0,178.0,94.0,59.0
