UTC time,coal,nat_gas,hydro,solar,wind,other
2023-05-11 00:00:00,1337.0,1252.0,238.0,923.0,1754.0,127.0
2023-05-11 01:00:00,1498.0,1394.0,238.0,600.0,1642.0,130.0
2023-05-11 02:00:00,1548.0,1385.0,241.0,330.0,1306.0,133.0
2023-05-11 03:00:00,1695.0,1489.0,238.0,16.0,936.0,133.0
2023-05-11 04:00:00,1728.0,1445.0,239.0,0.0,1167.0,134.0
2023-05-11 05:00:00,1582.0,1512.0,241.0,0.0,1252.0,135.0
2023-05-11 06:00:00,1661.0,1408.0,239.0,0.0,1236.0,134.0
2023-05-11 07:00:00,1374.0,1230.0,239.0,0.0,1193.0,137.0
2023-05-11 08:00:00,1119.0,1231.0,240.0,0.0,1083.0,137.0
2023-05-11 09:00:00,1109.0,1330.0,236.0,0.0,621.0,137.0
2023-05-11 10:00:00,1073.0,1228.0,241.0,0.0,448.0,136.0
2023-05-11 11:00:00,1082.0,1234.0,240.0,0.0,605.0,137.0
2023-05-11 12:00:00,1095.0,1232.0,238.0,0.0,639.0,134.0
2023-05-11 13:00:00,1161.0,1302.0,239.0,39.0,833.0,134.0
2023-05-11 14:00:00,1388.0,1294.0,240.0,667.0,793.0,136.0
2023-05-11 15:00:00,983.0,983.0,236.0,1447.0,709.0,132.0
2023-05-11 16:00:00,894.0,901.0,227.0,1631.0,746.0,132.0
2023-05-11 17:00:00,902.0,797.0,236.0,1679.0,806.0,131.0
2023-05-11 18:00:00,1035.0,723.0,239.0,1693.0,950.0,129.0
2023-05-11 19:00:00,971.0,751.0,237.0,1686.0,1181.0,128.0
2023-05-11 20:00:00,947.0,716.0,235.0,1554.0,1553.0,128.0
2023-05-11 21:00:00,993.0,751.0,235.0,1414.0,1814.0,125.0
2023-05-11 22:00:00,1085.0,756.0,234.0,1347.0,1655.0,125.0
2023-05-11 23:00:00,972.0,835.0,233.0,1124.0,1724.0,125.0
