Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
43584,2023-12-22 00:00:00,216.91,466.0,2111.0,3992.0,0.0,230.0,0.0,0.0
43585,2023-12-22 01:00:00,236.02,477.0,2424.0,3997.0,0.0,18.0,0.0,10.0
43586,2023-12-22 02:00:00,245.24,558.0,2492.0,3992.0,0.0,16.0,4.0,10.0
43587,2023-12-22 03:00:00,247.02,640.0,2472.0,3995.0,0.0,154.0,8.0,10.0
43588,2023-12-22 04:00:00,242.97,638.0,2254.0,4002.0,0.0,11.0,11.0,9.0
43589,2023-12-22 05:00:00,236.07,602.0,2200.0,4006.0,0.0,77.0,11.0,10.0
43590,2023-12-22 06:00:00,239.9,623.0,2199.0,4007.0,0.0,6.0,7.0,10.0
43591,2023-12-22 07:00:00,236.45,625.0,2130.0,4009.0,0.0,44.0,1.0,8.0
43592,2023-12-22 08:00:00,227.16,579.0,1978.0,4010.0,0.0,2.0,0.0,0.0
43593,2023-12-22 09:00:00,214.59,509.0,1830.0,4009.0,0.0,0.0,0.0,0.0
43594,2023-12-22 10:00:00,219.12,514.0,1922.0,4005.0,0.0,0.0,0.0,0.0
43595,2023-12-22 11:00:00,221.72,516.0,1980.0,4005.0,0.0,0.0,0.0,0.0
43596,2023-12-22 12:00:00,221.75,493.0,2033.0,4006.0,0.0,0.0,0.0,0.0
43597,2023-12-22 13:00:00,222.4,490.0,2053.0,4003.0,0.0,0.0,0.0,0.0
43598,2023-12-22 14:00:00,218.56,457.0,2041.0,3999.0,10.0,33.0,0.0,10.0
43599,2023-12-22 15:00:00,211.23,456.0,1974.0,4003.0,10.0,198.0,0.0,9.0
43600,2023-12-22 16:00:00,221.9,475.0,2103.0,3997.0,10.0,42.0,0.0,1.0
43601,2023-12-22 17:00:00,224.49,473.0,2160.0,3999.0,1.0,29.0,0.0,0.0
43602,2023-12-22 18:00:00,222.12,475.0,2138.0,3993.0,0.0,100.0,0.0,0.0
43603,2023-12-22 19:00:00,214.24,475.0,1974.0,3993.0,0.0,143.0,4.0,1.0
43604,2023-12-22 20:00:00,204.27,464.0,1792.0,3994.0,0.0,194.0,20.0,10.0
43605,2023-12-22 21:00:00,199.55,458.0,1666.0,3995.0,0.0,123.0,20.0,8.0
43606,2023-12-22 22:00:00,200.59,472.0,1662.0,3992.0,0.0,131.0,27.0,10.0
43607,2023-12-22 23:00:00,207.04,474.0,1822.0,3994.0,0.0,110.0,70.0,9.0
