Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other
41160,2023-09-12 00:00:00,293.89,1013.0,3703.0,3939.0,51.0,507.0,60.0,20.0
41161,2023-09-12 01:00:00,302.48,1104.0,3658.0,3951.0,71.0,322.0,51.0,20.0
41162,2023-09-12 02:00:00,308.82,1159.0,3804.0,3954.0,74.0,308.0,44.0,19.0
41163,2023-09-12 03:00:00,303.1,1110.0,3673.0,3949.0,72.0,305.0,42.0,1.0
41164,2023-09-12 04:00:00,290.92,967.0,3476.0,3957.0,75.0,277.0,42.0,0.0
41165,2023-09-12 05:00:00,288.49,841.0,3468.0,3964.0,73.0,81.0,39.0,0.0
41166,2023-09-12 06:00:00,271.76,621.0,3282.0,3969.0,73.0,5.0,25.0,0.0
41167,2023-09-12 07:00:00,259.88,513.0,3099.0,3970.0,39.0,0.0,29.0,0.0
41168,2023-09-12 08:00:00,254.97,530.0,2887.0,3973.0,39.0,0.0,15.0,0.0
41169,2023-09-12 09:00:00,250.09,502.0,2808.0,3975.0,39.0,1.0,18.0,0.0
41170,2023-09-12 10:00:00,246.12,485.0,2741.0,3976.0,40.0,0.0,30.0,0.0
41171,2023-09-12 11:00:00,243.02,485.0,2632.0,3971.0,39.0,0.0,17.0,0.0
41172,2023-09-12 12:00:00,242.69,484.0,2632.0,3977.0,40.0,0.0,18.0,0.0
41173,2023-09-12 13:00:00,246.98,495.0,2749.0,3982.0,39.0,0.0,31.0,0.0
41174,2023-09-12 14:00:00,256.99,549.0,2933.0,3970.0,38.0,0.0,45.0,0.0
41175,2023-09-12 15:00:00,255.65,549.0,2916.0,3975.0,39.0,0.0,64.0,0.0
41176,2023-09-12 16:00:00,257.19,485.0,3107.0,3949.0,38.0,0.0,78.0,0.0
41177,2023-09-12 17:00:00,250.75,485.0,2928.0,3932.0,38.0,57.0,73.0,0.0
41178,2023-09-12 18:00:00,239.87,485.0,2721.0,3931.0,37.0,240.0,50.0,0.0
41179,2023-09-12 19:00:00,239.62,485.0,2818.0,3932.0,39.0,405.0,21.0,0.0
41180,2023-09-12 20:00:00,234.36,485.0,2788.0,3943.0,39.0,515.0,64.0,0.0
41181,2023-09-12 21:00:00,245.78,522.0,3054.0,3937.0,38.0,529.0,45.0,0.0
41182,2023-09-12 22:00:00,265.32,589.0,3273.0,3940.0,39.0,235.0,11.0,0.0
41183,2023-09-12 23:00:00,270.01,630.0,3291.0,3936.0,69.0,139.0,26.0,0.0
