UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_geothermal_production_forecast,avg_unknown_production_forecast
2023-01-08 00:00:00,2024-07-17 00:00:00,3.1,7.365642221866936,285.2440025726502,282.5356904720807,0.0,1.264105090636552,997.30093,10774.56029,22094.16082,214.04831,18874.47233,0.0,58193.99924,659.65085,0.0,389.76416
2023-01-08 01:00:00,2024-07-17 00:00:00,3.1,7.305433644427559,285.1783869377199,282.50694939107115,0.0,0.3962690352436933,1002.58533,10630.09443,22063.3224,212.88967,16672.00833,0.0,57969.00176,656.23983,0.0,386.39026
2023-01-08 02:00:00,2024-07-17 00:00:00,3.1,7.305433644427559,285.1783869377199,282.50694939107115,0.0,0.3962690352436933,1003.51471,10353.99885,22169.51775,213.84859,13956.32856,0.0,56767.99778,656.92469,0.0,385.71973
2023-01-08 03:00:00,2024-07-17 00:00:00,3.1,7.305433644427559,285.1783869377199,282.50694939107115,0.0,0.3962690352436933,991.16527,10373.38354,22162.53278,212.00712,12065.96321,0.0,56667.00208,669.33566,0.0,388.03194
2023-01-08 04:00:00,2024-07-17 00:00:00,3.1,6.69433013609095,284.4094072266766,281.75205331535324,0.0,0.6783894565952572,996.40422,11050.30129,22179.34898,208.25981,10975.24994,0.0,56451.99816,672.71262,0.0,383.37415
2023-01-08 05:00:00,2024-07-17 00:00:00,3.1,6.69433013609095,284.4094072266766,281.75205331535324,0.0,0.6783894565952572,978.4873,11260.7632,22098.19975,211.2816,11125.27874,0.0,56269.00021,678.9187,0.0,387.03076
2023-01-08 06:00:00,2024-07-17 00:00:00,3.1,6.69433013609095,284.4094072266766,281.75205331535324,0.0,0.6783894565952572,958.59841,11564.10885,22057.07632,214.80942,12882.94698,0.0,55164.99831,677.89814,0.0,391.61453
2023-01-08 07:00:00,2024-07-17 00:00:00,3.1,6.01012592352324,284.4027862670604,281.2192852133225,25.9216229058576,0.2716553038543929,935.52563,11475.85915,21979.17249,213.98336,13766.2376,242.00001,55232.99914,685.42033,0.0,388.62689
2023-01-08 08:00:00,2024-07-17 00:00:00,3.1,6.01012592352324,284.4027862670604,281.2192852133225,25.9216229058576,0.2716553038543929,951.34915,11606.7942,21733.51051,211.72902,14546.55759,1793.9999,56265.00184,690.79552,0.0,385.14102
2023-01-08 09:00:00,2024-07-17 00:00:00,3.1,6.01012592352324,284.4027862670604,281.2192852133225,25.9216229058576,0.2716553038543929,981.86794,11785.82916,21679.47438,210.55311,15301.18281,4432.99989,58459.99784,693.81505,0.0,387.14497
