UTC time,coal,nat_gas,oil,hydro,solar,other
2023-02-28 00:00:00,345,5269.0,0.0,37.0,6.0,65.0
2023-02-28 01:00:00,396,5213.0,0.0,37.0,0.0,66.0
2023-02-28 02:00:00,285,4963.0,0.0,36.0,0.0,65.0
2023-02-28 03:00:00,182,4668.0,0.0,37.0,0.0,64.0
2023-02-28 04:00:00,183,4034.0,0.0,36.0,0.0,65.0
2023-02-28 05:00:00,181,3638.0,0.0,35.0,0.0,65.0
2023-02-28 06:00:00,174,3377.0,0.0,36.0,0.0,64.0
2023-02-28 07:00:00,172,3171.0,0.0,36.0,0.0,65.0
2023-02-28 08:00:00,172,3057.0,0.0,36.0,0.0,61.0
2023-02-28 09:00:00,172,2989.0,0.0,36.0,0.0,63.0
2023-02-28 10:00:00,173,3022.0,0.0,36.0,0.0,66.0
2023-02-28 11:00:00,171,3263.0,0.0,36.0,0.0,65.0
2023-02-28 12:00:00,172,3669.0,0.0,36.0,0.0,63.0
2023-02-28 13:00:00,181,3768.0,0.0,37.0,45.0,66.0
2023-02-28 14:00:00,197,3807.0,0.0,36.0,258.0,64.0
2023-02-28 15:00:00,199,3844.0,0.0,37.0,395.0,64.0
2023-02-28 16:00:00,196,4100.0,17.0,37.0,444.0,64.0
2023-02-28 17:00:00,198,4297.0,0.0,37.0,524.0,62.0
2023-02-28 18:00:00,201,4475.0,0.0,37.0,556.0,62.0
2023-02-28 19:00:00,204,4566.0,17.0,38.0,637.0,63.0
2023-02-28 20:00:00,271,4864.0,0.0,38.0,578.0,64.0
2023-02-28 21:00:00,372,5037.0,0.0,37.0,539.0,61.0
2023-02-28 22:00:00,497,5157.0,0.0,37.0,459.0,64.0
2023-02-28 23:00:00,505,5396.0,0.0,37.0,198.0,63.0
