UTC time,avg_coal_production_forecast,avg_biomass_production_forecast,avg_geothermal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_solar_production_forecast,avg_unknown_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,59655.33899,19304.33402,71.19943,9439.07611,23148.79992,26532.11709,1685.60513,0,1525.87509,50065.99986
2021-07-01 01:00:00,57667.94122,19333.08799,70.85777,9403.93986,22577.28063,26554.93133,1660.12019,0,1531.14982,52459.00166
2021-07-01 02:00:00,57249.01588,19329.10408,70.87704,9342.17187,22933.71031,26422.03093,1666.65326,0,1541.01488,54903.99825
2021-07-01 03:00:00,58033.98524,19327.74998,70.21178,9420.80497,24476.03084,26659.82392,1684.81465,50,1531.21142,56938.00205
2021-07-01 04:00:00,61139.1627,19357.17805,69.69525,9453.2389,26331.22,26723.28059,1686.95496,1418.99998,1541.90359,59119.00259
2021-07-01 05:00:00,65451.25164,19350.55296,66.9967,9437.6341,27677.03165,26661.30863,1685.99394,5223.99988,1517.29108,61610.0022
2021-07-01 06:00:00,68240.80038,19370.06805,65.4929,9472.53086,28679.65236,26721.25811,1675.94559,11963.00027,1531.04721,63817.99876
2021-07-01 07:00:00,69495.42958,19412.58408,64.84324,9589.76314,29346.04234,26704.82841,1691.8911,20023.00043,1504.87281,64857.99942
2021-07-01 08:00:00,68637.51731,19421.35007,61.86822,9581.61113,28878.09959,26645.1332,1697.45595,28044.0008,1510.26751,65436.0001
2021-07-01 09:00:00,65671.98865,19365.76597,59.65116,9566.81382,27566.33722,26520.97301,1709.50821,35778.99979,1499.75818,65890.99866
2021-07-01 10:00:00,61840.67603,19395.89291,58.53294,9497.0501,26659.29438,26532.55987,1694.59419,42177.00153,1505.2239,66163.9989
2021-07-01 11:00:00,57982.27555,19361.22308,56.91632,9336.62406,25548.01634,26519.14635,1700.79816,46707.99989,1504.4706,66079.9984
2021-07-01 12:00:00,55871.44592,19253.76794,56.64587,9351.92687,24839.06873,26391.67186,1695.50135,48934.99839,1517.31692,66288.99827
2021-07-01 13:00:00,55755.13858,19368.11295,56.12785,9330.86692,24967.37073,26329.22644,1697.5703,48212.99875,1498.25511,65548.99939
2021-07-01 14:00:00,56819.43359,19314.30304,56.88861,9388.35286,24916.32547,26366.82054,1715.72726,44562.99819,1513.1804,62755.00211
2021-07-01 15:00:00,59593.82476,19460.42797,56.71927,9457.07287,26236.20118,26483.94298,1702.55852,37723.00021,1528.42438,59386.00003
2021-07-01 16:00:00,63389.22719,19411.20907,58.49131,9523.68293,27145.93732,26463.3295,1712.54272,28546.00054,1518.59842,55018.00168
2021-07-01 17:00:00,67214.69568,19434.8161,60.23745,9620.86191,27781.85369,26404.86473,1687.96904,18462.99998,1502.44091,49828.99983
2021-07-01 18:00:00,69178.20125,19439.57604,60.77859,9572.68761,28487.02654,26508.36029,1669.80998,9100.00046,1492.9855,44640.99937
2021-07-01 19:00:00,70243.35921,19399.13308,64.20718,9496.86585,27841.06326,26486.43746,1669.6184,2546.00008,1502.29237,40902.00062
2021-07-01 20:00:00,68231.71145,19449.73003,66.71309,9654.56487,27423.85678,26404.81358,1676.55347,179,1492.49212,39154.9999
2021-07-01 21:00:00,64855.62374,19470.00207,67.94327,9700.83598,25215.20838,26396.90342,1683.97231,0,1494.45667,38216.99985
2021-07-01 22:00:00,59706.52952,19465.24395,68.39759,9547.65597,23268.84046,26266.31631,1679.59296,0,1511.9552,35529.00044
2021-07-01 23:00:00,55481.47464,19363.059,70.65854,9444.9459,21635.87474,26245.27466,1679.86764,0,1513.93491,29326.99947
2021-07-02 00:00:00,57961.62113,19224.57215,68.18241,9624.32665,22115.86805,26058.57405,1681.21082,3326.62473,1609.0198,30955.71811
2021-07-02 01:00:00,57891.08464,19238.54477,69.11916,9543.49602,21481.8311,26056.56911,1650.03882,2615.32005,1605.58269,31335.49416
2021-07-02 02:00:00,58314.04404,19253.23921,69.79033,9411.09939,21326.40339,26010.94355,1659.96839,0,1601.84396,32186.66059
