UTC Time,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Other,Wind Onshore
Total Missing Minutes,0,0,0,0,0,0,0
Percentage per Source,0,0,0,0,0,0,0
