UTC time,nat_gas,oil,hydro,solar,wind,other
2023-12-13 00:00:00,471.0,0.0,736.0,16.0,201.0,40.0
2023-12-13 01:00:00,479.0,0.0,849.0,0.0,241.0,40.0
2023-12-13 02:00:00,479.0,0.0,803.0,0.0,261.0,41.0
2023-12-13 03:00:00,480.0,0.0,756.0,0.0,177.0,42.0
2023-12-13 04:00:00,481.0,0.0,715.0,0.0,135.0,40.0
2023-12-13 05:00:00,481.0,0.0,726.0,0.0,94.0,42.0
2023-12-13 06:00:00,483.0,0.0,679.0,0.0,46.0,40.0
2023-12-13 07:00:00,482.0,0.0,507.0,0.0,15.0,42.0
2023-12-13 08:00:00,484.0,0.0,401.0,0.0,9.0,41.0
2023-12-13 09:00:00,527.0,0.0,366.0,0.0,17.0,41.0
2023-12-13 10:00:00,528.0,0.0,343.0,0.0,13.0,42.0
2023-12-13 11:00:00,527.0,0.0,346.0,0.0,16.0,40.0
2023-12-13 12:00:00,508.0,0.0,359.0,0.0,20.0,43.0
2023-12-13 13:00:00,481.0,0.0,540.0,0.0,17.0,43.0
2023-12-13 14:00:00,479.0,0.0,708.0,0.0,24.0,38.0
2023-12-13 15:00:00,479.0,0.0,807.0,0.0,30.0,38.0
2023-12-13 16:00:00,494.0,0.0,781.0,3.0,32.0,39.0
2023-12-13 17:00:00,522.0,0.0,503.0,30.0,36.0,41.0
2023-12-13 18:00:00,520.0,0.0,465.0,82.0,36.0,43.0
2023-12-13 19:00:00,520.0,0.0,371.0,106.0,44.0,42.0
2023-12-13 20:00:00,514.0,0.0,404.0,108.0,50.0,39.0
2023-12-13 21:00:00,520.0,0.0,344.0,128.0,55.0,43.0
2023-12-13 22:00:00,471.0,0.0,451.0,155.0,55.0,38.0
2023-12-13 23:00:00,447.0,0.0,467.0,140.0,63.0,41.0
