UTC time,nat_gas,oil,hydro,solar,wind,other
2023-03-17 00:00:00,198.0,0.0,387.0,393.0,113.0,53.0
2023-03-17 01:00:00,398.0,0.0,662.0,231.0,116.0,56.0
2023-03-17 02:00:00,658.0,0.0,772.0,23.0,187.0,54.0
2023-03-17 03:00:00,669.0,0.0,807.0,0.0,240.0,54.0
2023-03-17 04:00:00,673.0,0.0,813.0,0.0,237.0,56.0
2023-03-17 05:00:00,674.0,0.0,772.0,0.0,257.0,56.0
2023-03-17 06:00:00,678.0,0.0,765.0,0.0,249.0,56.0
2023-03-17 07:00:00,675.0,0.0,683.0,0.0,162.0,57.0
2023-03-17 08:00:00,677.0,0.0,573.0,0.0,109.0,54.0
2023-03-17 09:00:00,677.0,0.0,578.0,0.0,85.0,59.0
2023-03-17 10:00:00,677.0,0.0,598.0,0.0,73.0,53.0
2023-03-17 11:00:00,679.0,0.0,690.0,0.0,78.0,55.0
2023-03-17 12:00:00,679.0,0.0,857.0,0.0,82.0,57.0
2023-03-17 13:00:00,724.0,0.0,1015.0,0.0,103.0,53.0
2023-03-17 14:00:00,769.0,0.0,1074.0,0.0,95.0,55.0
2023-03-17 15:00:00,641.0,0.0,1059.0,72.0,105.0,53.0
2023-03-17 16:00:00,451.0,0.0,957.0,308.0,126.0,56.0
2023-03-17 17:00:00,432.0,0.0,843.0,393.0,204.0,55.0
2023-03-17 18:00:00,360.0,0.0,450.0,401.0,229.0,54.0
2023-03-17 19:00:00,304.0,0.0,379.0,395.0,265.0,52.0
2023-03-17 20:00:00,264.0,0.0,393.0,393.0,357.0,52.0
2023-03-17 21:00:00,253.0,0.0,381.0,399.0,395.0,52.0
2023-03-17 22:00:00,252.0,0.0,408.0,403.0,383.0,52.0
2023-03-17 23:00:00,254.0,0.0,456.0,402.0,398.0,53.0
