UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-10-24 00:00:00,2024-07-17 00:00:00,3.1,3.6047758734194018,281.3174387018392,269.0895298914877,312.9548226964707,0.2592496660768984,183.74425,0.0,589.32001,177.97386,646.19842,33.82339
2023-10-24 01:00:00,2024-07-17 00:00:00,3.1,2.8491013475442104,278.5206933987634,270.1506098700735,4.2668128582852844,0.603651972617087,190.35266,0.0,615.78995,149.48154,637.17497,33.6937
2023-10-24 02:00:00,2024-07-17 00:00:00,3.1,2.8491013475442104,278.5206933987634,270.1506098700735,4.2668128582852844,0.603651972617087,189.73226,0.00372,645.99727,105.7178,620.27496,33.99062
2023-10-24 03:00:00,2024-07-17 00:00:00,3.1,2.8491013475442104,278.5206933987634,270.1506098700735,4.2668128582852844,0.603651972617087,186.50042,0.0,625.7876,66.19767,603.78257,34.63188
2023-10-24 04:00:00,2024-07-17 00:00:00,3.1,3.5452685234824406,277.69540610452924,271.07508516358325,2.133213257731175,1.7540682738059696,184.68853,0.0,615.26485,36.07199,582.74186,35.14944
2023-10-24 05:00:00,2024-07-17 00:00:00,3.1,3.5452685234824406,277.69540610452924,271.07508516358325,2.133213257731175,1.7540682738059696,185.42232,0.0,576.69134,22.14378,560.2754,36.23857
2023-10-24 06:00:00,2024-07-17 00:00:00,3.1,3.5452685234824406,277.69540610452924,271.07508516358325,2.133213257731175,1.7540682738059696,187.1991,0.0,520.3585,23.07675,545.95521,36.6495
2023-10-24 07:00:00,2024-07-17 00:00:00,3.1,3.719746813587251,276.8579559589444,271.86695150464345,0.0,1.1685633474188484,180.26809,0.0,471.90627,10.0231,506.37426,38.13399
2023-10-24 08:00:00,2024-07-17 00:00:00,3.1,3.719746813587251,276.8579559589444,271.86695150464345,0.0,1.1685633474188484,186.06215,0.0,442.18332,0.0,483.73858,39.15747
2023-10-24 09:00:00,2024-07-17 00:00:00,3.1,3.719746813587251,276.8579559589444,271.86695150464345,0.0,1.1685633474188484,185.01295,0.0,433.52174,0.0,471.54188,39.89929
2023-10-24 10:00:00,2024-07-17 00:00:00,3.1,3.6018267730663025,276.0362507026217,272.15192695467806,0.0,2.405667631557148,182.38629,0.00013,451.31784,1.75565,445.87261,40.42743
2023-10-24 11:00:00,2024-07-17 00:00:00,3.1,3.6018267730663025,276.0362507026217,272.15192695467806,0.0,2.405667631557148,180.46216,0.00369,498.47901,5.25995,418.02523,41.08124
2023-10-24 12:00:00,2024-07-17 00:00:00,3.1,3.6018267730663025,276.0362507026217,272.15192695467806,0.0,2.405667631557148,182.62743,0.0,542.70281,4.46185,397.78995,41.04932
2023-10-24 13:00:00,2024-07-17 00:00:00,3.1,3.4449786677443326,275.3776859458393,272.03010891634005,4.822973150000927,1.011321117607156,179.32033,0.0,603.35528,22.9985,373.98019,40.82269
2023-10-24 14:00:00,2024-07-17 00:00:00,3.1,3.4449786677443326,275.3776859458393,272.03010891634005,4.822973150000927,1.011321117607156,175.00378,0.0,642.59085,33.80429,357.32519,40.8329
2023-10-24 15:00:00,2024-07-17 00:00:00,3.1,3.4449786677443326,275.3776859458393,272.03010891634005,4.822973150000927,1.011321117607156,179.50905,0.0,644.61128,65.80772,354.52949,41.21874
