,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-01 00:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
1,2023-08-01 01:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
2,2023-08-01 02:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
3,2023-08-01 03:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
4,2023-08-01 04:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
5,2023-08-01 05:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
6,2023-08-01 06:00:00,488.89,739.0,16.0,29.0,192.0,0.0,209.0
7,2023-08-01 07:00:00,488.89,1478.0,32.0,58.0,384.0,0.0,418.0
8,2023-08-01 08:00:00,482.74,1476.0,23.0,59.0,381.0,0.0,452.0
9,2023-08-01 09:00:00,491.87,1476.0,14.0,58.0,366.0,0.0,425.0
10,2023-08-01 10:00:00,484.77,1487.0,36.0,60.0,387.0,0.0,439.0
11,2023-08-01 11:00:00,497.82,1487.0,36.0,59.0,384.0,0.0,379.0
12,2023-08-01 12:00:00,493.81,1490.0,34.0,60.0,390.0,0.0,394.0
13,2023-08-01 13:00:00,496.64,1484.0,36.0,59.0,384.0,7.0,376.0
14,2023-08-01 14:00:00,503.06,1485.0,35.0,58.0,384.0,26.0,328.0
15,2023-08-01 15:00:00,534.9,1484.0,35.0,57.0,384.0,59.0,157.0
16,2023-08-01 16:00:00,529.46,1485.0,35.0,56.0,385.0,79.0,159.0
17,2023-08-01 17:00:00,512.8,1482.0,38.0,52.0,388.0,86.0,219.0
18,2023-08-01 18:00:00,523.1,1480.0,37.0,51.0,382.0,91.0,175.0
19,2023-08-01 19:00:00,527.24,1474.0,41.0,50.0,385.0,92.0,150.0
20,2023-08-01 20:00:00,540.35,1483.0,37.0,49.0,382.0,92.0,105.0
21,2023-08-01 21:00:00,537.03,1467.0,43.0,48.0,382.0,90.0,112.0
22,2023-08-01 22:00:00,518.9,1466.0,119.0,46.0,380.0,90.0,167.0
23,2023-08-01 23:00:00,514.66,1467.0,131.0,45.0,385.0,90.0,178.0
