UTC time,creation_time (UTC),version,forecasted_avg_carbon_intensity
2023-09-05T22:00:00.000000000,2023-09-04 18:10:14,3.0,525.25118
2023-09-05T23:00:00.000000000,2023-09-04 18:10:14,3.0,526.74293
2023-09-06T00:00:00.000000000,2023-09-04 18:10:14,3.0,575.34987
2023-09-06T01:00:00.000000000,2023-09-04 18:10:14,3.0,573.83245
2023-09-06T02:00:00.000000000,2023-09-04 18:10:14,3.0,572.25719
2023-09-06T03:00:00.000000000,2023-09-04 18:10:14,3.0,570.58184
2023-09-06T04:00:00.000000000,2023-09-04 18:10:14,3.0,570.77534
2023-09-06T05:00:00.000000000,2023-09-04 18:10:14,3.0,570.99086
2023-09-06T06:00:00.000000000,2023-09-04 18:10:14,3.0,571.84876
2023-09-06T07:00:00.000000000,2023-09-04 18:10:14,3.0,570.66421
2023-09-06T08:00:00.000000000,2023-09-04 18:10:14,3.0,567.49751
2023-09-06T09:00:00.000000000,2023-09-04 18:10:14,3.0,562.01594
2023-09-06T10:00:00.000000000,2023-09-04 18:10:14,3.0,553.16367
2023-09-06T11:00:00.000000000,2023-09-04 18:10:14,3.0,545.08372
2023-09-06T12:00:00.000000000,2023-09-04 18:10:14,3.0,538.52443
2023-09-06T13:00:00.000000000,2023-09-04 18:10:14,3.0,535.64257
2023-09-06T14:00:00.000000000,2023-09-04 18:10:14,3.0,536.00298
2023-09-06T15:00:00.000000000,2023-09-04 18:10:14,3.0,539.35935
2023-09-06T16:00:00.000000000,2023-09-04 18:10:14,3.0,545.48936
2023-09-06T17:00:00.000000000,2023-09-04 18:10:14,3.0,554.78839
2023-09-06T18:00:00.000000000,2023-09-04 18:10:14,3.0,565.44862
2023-09-06T19:00:00.000000000,2023-09-04 18:10:14,3.0,573.98682
2023-09-06T20:00:00.000000000,2023-09-04 18:10:14,3.0,579.58441
2023-09-06T21:00:00.000000000,2023-09-04 18:10:14,3.0,582.66892
2023-09-06T22:00:00.000000000,2023-09-04 18:10:14,3.0,583.10923
2023-09-06T23:00:00.000000000,2023-09-04 18:10:14,3.0,583.24224
