,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-11 00:00:00,2023-08-13 18:27:37,3.0,455.45,1502.0,85.0,50.0,395.0,78.0,510.0
1,2023-08-11 01:00:00,2023-08-13 18:27:37,3.0,450.19,1518.0,88.0,51.0,393.0,65.0,566.0
2,2023-08-11 02:00:00,2023-08-13 18:27:37,3.0,468.3,1503.0,83.0,51.0,392.0,22.0,498.0
3,2023-08-11 03:00:00,2023-08-13 18:27:37,3.0,470.11,1508.0,87.0,54.0,394.0,1.0,509.0
4,2023-08-11 04:00:00,2023-08-13 18:27:37,3.0,464.16,1505.0,85.0,56.0,389.0,0.0,546.0
5,2023-08-11 05:00:00,2023-08-13 18:27:37,3.0,470.83,1504.0,78.0,58.0,392.0,0.0,507.0
6,2023-08-11 06:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
7,2023-08-11 07:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
8,2023-08-11 08:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
9,2023-08-11 09:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
10,2023-08-11 10:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
11,2023-08-11 11:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
12,2023-08-11 12:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
13,2023-08-11 13:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
14,2023-08-11 14:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
15,2023-08-11 15:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
16,2023-08-11 16:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
17,2023-08-11 17:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
18,2023-08-11 18:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
19,2023-08-11 19:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
20,2023-08-11 20:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
21,2023-08-11 21:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
22,2023-08-11 22:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
23,2023-08-11 23:00:00,2023-08-13 18:27:37,3.0,464.4,1506.0,60.0,59.0,391.0,0.0,548.0
