,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-05 00:00:00,513.52,1546.0,37.0,56.0,374.0,49.0,297.0
1,2023-08-05 01:00:00,516.14,1549.0,35.0,56.0,378.0,62.0,270.0
2,2023-08-05 02:00:00,520.66,1545.0,38.0,60.0,371.0,20.0,295.0
3,2023-08-05 03:00:00,528.8,1545.0,36.0,59.0,370.0,0.0,281.0
4,2023-08-05 04:00:00,544.42,1539.0,38.0,60.0,371.0,0.0,211.0
5,2023-08-05 05:00:00,552.68,1542.0,37.0,61.0,371.0,0.0,179.0
6,2023-08-05 06:00:00,508.4,1151.0,38.0,61.0,372.0,0.0,175.0
7,2023-08-05 07:00:00,467.7,856.0,38.0,61.0,368.0,0.0,151.0
8,2023-08-05 08:00:00,493.81,1010.0,39.0,60.0,375.0,0.0,149.0
9,2023-08-05 09:00:00,518.85,1074.0,43.0,59.0,370.0,0.0,104.0
10,2023-08-05 10:00:00,547.57,1218.0,37.0,60.0,369.0,0.0,76.0
11,2023-08-05 11:00:00,568.2,1359.0,37.0,59.0,372.0,0.0,57.0
12,2023-08-05 12:00:00,580.97,1449.0,37.0,60.0,369.0,0.0,46.0
13,2023-08-05 13:00:00,578.73,1463.0,37.0,60.0,371.0,4.0,52.0
14,2023-08-05 14:00:00,552.89,1485.0,26.0,59.0,374.0,19.0,139.0
15,2023-08-05 15:00:00,554.74,1485.0,17.0,59.0,370.0,20.0,138.0
16,2023-08-05 16:00:00,547.83,1479.0,24.0,58.0,369.0,59.0,122.0
17,2023-08-05 17:00:00,539.07,1474.0,36.0,60.0,367.0,59.0,152.0
18,2023-08-05 18:00:00,533.19,1476.0,36.0,58.0,370.0,73.0,160.0
19,2023-08-05 19:00:00,553.72,1472.0,35.0,59.0,365.0,69.0,87.0
20,2023-08-05 20:00:00,558.54,1471.0,31.0,59.0,372.0,65.0,67.0
21,2023-08-05 21:00:00,546.1,1470.0,33.0,59.0,367.0,74.0,109.0
22,2023-08-05 22:00:00,535.03,1476.0,37.0,59.0,372.0,49.0,174.0
23,2023-08-05 23:00:00,499.6,1513.0,33.0,59.0,368.0,57.0,344.0
