UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2023-08-15 00:00:00,2023-08-18 21:41:24,3.0,1487.0,83.0,50.0,375.0,85.0,22.0
2023-08-15 01:00:00,2023-08-18 21:41:24,3.0,1492.0,83.0,51.0,374.0,65.0,26.0
2023-08-15 02:00:00,2023-08-18 21:41:24,3.0,1403.0,81.0,52.0,373.0,25.0,36.0
2023-08-15 03:00:00,2023-08-18 21:41:24,3.0,1417.0,79.0,52.0,372.0,0.0,38.0
2023-08-15 04:00:00,2023-08-18 21:41:24,3.0,1466.0,76.0,56.0,373.0,0.0,72.0
2023-08-15 05:00:00,2023-08-18 21:41:24,3.0,1495.0,84.0,58.0,375.0,0.0,143.0
2023-08-15 06:00:00,2023-08-18 21:41:24,3.0,1493.0,84.0,58.0,374.0,0.0,195.0
2023-08-15 07:00:00,2023-08-18 21:41:24,3.0,1490.0,84.0,60.0,376.0,0.0,198.0
2023-08-15 08:00:00,2023-08-18 21:41:24,3.0,1533.0,81.0,60.0,379.0,0.0,182.0
2023-08-15 09:00:00,2023-08-18 21:41:24,3.0,1551.0,82.0,59.0,375.0,0.0,159.0
2023-08-15 10:00:00,2023-08-18 21:41:24,3.0,1551.0,79.0,59.0,373.0,0.0,152.0
2023-08-15 11:00:00,2023-08-18 21:41:24,3.0,1557.0,82.0,60.0,378.0,0.0,179.0
2023-08-15 12:00:00,2023-08-18 21:41:24,3.0,1554.0,82.0,59.0,370.0,0.0,163.0
2023-08-15 13:00:00,2023-08-18 21:41:24,3.0,1552.0,82.0,60.0,381.0,4.0,204.0
2023-08-15 14:00:00,2023-08-18 21:41:24,3.0,1547.0,82.0,59.0,375.0,42.0,194.0
2023-08-15 15:00:00,2023-08-18 21:41:24,3.0,1406.0,85.0,59.0,373.0,78.0,160.0
2023-08-15 16:00:00,2023-08-18 21:41:24,3.0,1114.0,84.0,57.0,378.0,88.0,106.0
2023-08-15 17:00:00,2023-08-18 21:41:24,3.0,1024.0,83.0,52.0,375.0,92.0,97.0
2023-08-15 18:00:00,2023-08-18 21:41:24,3.0,1044.0,80.0,48.0,378.0,92.0,107.0
2023-08-15 19:00:00,2023-08-18 21:41:24,3.0,1325.0,84.0,44.0,372.0,93.0,122.0
2023-08-15 20:00:00,2023-08-18 21:41:24,3.0,1487.0,98.0,42.0,370.0,84.0,141.0
2023-08-15 21:00:00,2023-08-18 21:41:24,3.0,1502.0,121.0,40.0,375.0,89.0,141.0
2023-08-15 22:00:00,2023-08-18 21:41:24,3.0,1505.0,120.0,38.0,370.0,89.0,184.0
2023-08-15 23:00:00,2023-08-18 21:41:24,3.0,1503.0,121.0,38.0,374.0,85.0,212.0
