UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-06-04 00:00:00,1180.0,16.0,58.0,603.0,83.0,145.0
2023-06-04 01:00:00,1203.0,27.0,58.0,600.0,75.0,143.0
2023-06-04 02:00:00,1184.0,33.0,60.0,607.0,42.0,193.0
2023-06-04 03:00:00,1034.0,40.0,59.0,601.0,6.0,167.0
2023-06-04 04:00:00,972.0,39.0,60.0,596.0,1.0,181.0
2023-06-04 05:00:00,949.0,37.0,60.0,604.0,0.0,163.0
2023-06-04 06:00:00,875.0,22.0,58.0,604.0,0.0,122.0
2023-06-04 07:00:00,756.0,23.0,59.0,602.0,0.0,72.0
2023-06-04 08:00:00,696.0,17.0,58.0,597.0,0.0,63.0
2023-06-04 09:00:00,707.0,15.0,60.0,605.0,0.0,54.0
2023-06-04 10:00:00,731.0,16.0,60.0,601.0,0.0,41.0
2023-06-04 11:00:00,729.0,15.0,60.0,604.0,0.0,15.0
2023-06-04 12:00:00,687.0,16.0,60.0,601.0,0.0,15.0
2023-06-04 13:00:00,706.0,25.0,59.0,603.0,4.0,22.0
2023-06-04 14:00:00,704.0,15.0,59.0,598.0,10.0,9.0
2023-06-04 15:00:00,552.0,15.0,59.0,603.0,22.0,1.0
2023-06-04 16:00:00,525.0,16.0,58.0,601.0,25.0,4.0
2023-06-04 17:00:00,529.0,16.0,58.0,601.0,26.0,13.0
2023-06-04 18:00:00,598.0,15.0,58.0,600.0,47.0,52.0
2023-06-04 19:00:00,574.0,15.0,58.0,601.0,61.0,71.0
2023-06-04 20:00:00,586.0,30.0,59.0,603.0,77.0,97.0
2023-06-04 21:00:00,592.0,41.0,58.0,601.0,65.0,107.0
2023-06-04 22:00:00,687.0,42.0,58.0,597.0,54.0,165.0
2023-06-04 23:00:00,758.0,40.0,59.0,603.0,49.0,148.0
