UTC time,forecasted_avg_carbon_intensity
2023-08-06T00:00:00.000000000,1787.5451
2023-08-06T01:00:00.000000000,1719.85224
2023-08-06T02:00:00.000000000,1617.33569
2023-08-06T03:00:00.000000000,1475.04057
2023-08-06T04:00:00.000000000,1345.1591
2023-08-06T05:00:00.000000000,1223.79165
2023-08-06T06:00:00.000000000,1105.17566
2023-08-06T07:00:00.000000000,998.47388
2023-08-06T08:00:00.000000000,915.0866
2023-08-06T09:00:00.000000000,841.52603
2023-08-06T10:00:00.000000000,788.94299
2023-08-06T11:00:00.000000000,743.41055
2023-08-06T12:00:00.000000000,722.4876
2023-08-06T13:00:00.000000000,717.61377
2023-08-06T14:00:00.000000000,716.38447
2023-08-06T15:00:00.000000000,718.22147
2023-08-06T16:00:00.000000000,737.97477
2023-08-06T17:00:00.000000000,778.36016
2023-08-06T18:00:00.000000000,822.43331
2023-08-06T19:00:00.000000000,887.00051
2023-08-06T20:00:00.000000000,950.25434
2023-08-06T21:00:00.000000000,1010.26469
2023-08-06T22:00:00.000000000,1072.07505
2023-08-06T23:00:00.000000000,1125.618
2023-08-07T00:00:00.000000000,518.06727
2023-08-07T01:00:00.000000000,519.22689
2023-08-07T02:00:00.000000000,519.47367
2023-08-07T03:00:00.000000000,519.40604
2023-08-07T04:00:00.000000000,519.59954
2023-08-07T05:00:00.000000000,519.38486
2023-08-07T06:00:00.000000000,519.2944
2023-08-07T07:00:00.000000000,518.88443
2023-08-07T08:00:00.000000000,518.28055
2023-08-07T09:00:00.000000000,518.29522
2023-08-07T10:00:00.000000000,517.32376
2023-08-07T11:00:00.000000000,516.74651
2023-08-07T12:00:00.000000000,515.97227
2023-08-07T13:00:00.000000000,516.39967
2023-08-07T14:00:00.000000000,517.4924
2023-08-07T15:00:00.000000000,518.34773
2023-08-07T16:00:00.000000000,518.0355
2023-08-07T17:00:00.000000000,518.12592
2023-08-07T18:00:00.000000000,518.53737
2023-08-07T19:00:00.000000000,518.33935
2023-08-07T20:00:00.000000000,517.83306
2023-08-07T21:00:00.000000000,518.24955
2023-08-07T22:00:00.000000000,518.33718
2023-08-07T23:00:00.000000000,520.02731
2023-08-08T00:00:00.000000000,521.64972
2023-08-08T01:00:00.000000000,522.67883
2023-08-08T02:00:00.000000000,522.7402
2023-08-08T03:00:00.000000000,522.41367
2023-08-08T04:00:00.000000000,522.47386
2023-08-08T05:00:00.000000000,522.19976
2023-08-08T06:00:00.000000000,522.07271
2023-08-08T07:00:00.000000000,521.56551
2023-08-08T08:00:00.000000000,520.83355
2023-08-08T09:00:00.000000000,520.58162
2023-08-08T10:00:00.000000000,519.2388
2023-08-08T11:00:00.000000000,518.30677
2023-08-08T12:00:00.000000000,517.2268
2023-08-08T13:00:00.000000000,517.41647
2023-08-08T14:00:00.000000000,518.35773
2023-08-08T15:00:00.000000000,519.16265
2023-08-08T16:00:00.000000000,518.9608
2023-08-08T17:00:00.000000000,519.31764
2023-08-08T18:00:00.000000000,520.07317
2023-08-08T19:00:00.000000000,520.21408
2023-08-08T20:00:00.000000000,519.98146
2023-08-08T21:00:00.000000000,520.52768
2023-08-08T22:00:00.000000000,520.69341
2023-08-08T23:00:00.000000000,522.40326
2023-08-09T00:00:00.000000000,562.58555
2023-08-09T01:00:00.000000000,561.66999
2023-08-09T02:00:00.000000000,560.51052
2023-08-09T03:00:00.000000000,559.01388
2023-08-09T04:00:00.000000000,559.13328
2023-08-09T05:00:00.000000000,559.2576
2023-08-09T06:00:00.000000000,559.83802
2023-08-09T07:00:00.000000000,558.75923
2023-08-09T08:00:00.000000000,556.06983
2023-08-09T09:00:00.000000000,551.66078
2023-08-09T10:00:00.000000000,544.34253
2023-08-09T11:00:00.000000000,537.735
2023-08-09T12:00:00.000000000,532.27542
2023-08-09T13:00:00.000000000,529.90749
2023-08-09T14:00:00.000000000,530.29221
2023-08-09T15:00:00.000000000,532.87992
2023-08-09T16:00:00.000000000,537.4474
2023-08-09T17:00:00.000000000,544.70986
2023-08-09T18:00:00.000000000,553.11241
2023-08-09T19:00:00.000000000,559.8713
2023-08-09T20:00:00.000000000,564.28716
2023-08-09T21:00:00.000000000,567.03465
2023-08-09T22:00:00.000000000,567.65001
2023-08-09T23:00:00.000000000,568.38387
