,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-04 00:00:00,557.14,1487.0,79.0,58.0,377.0,19.0,330.0
1,2023-08-04 01:00:00,558.56,1486.0,77.0,59.0,372.0,7.0,340.0
2,2023-08-04 02:00:00,569.84,1513.0,81.0,59.0,377.0,1.0,305.0
3,2023-08-04 03:00:00,579.13,1526.0,82.0,58.0,378.0,0.0,272.0
4,2023-08-04 04:00:00,590.28,1535.0,82.0,58.0,378.0,0.0,231.0
5,2023-08-04 05:00:00,625.25,1541.0,36.0,59.0,377.0,0.0,114.0
6,2023-08-04 06:00:00,617.16,1536.0,35.0,60.0,378.0,0.0,140.0
7,2023-08-04 07:00:00,634.13,1543.0,33.0,59.0,378.0,0.0,84.0
8,2023-08-04 08:00:00,636.2,1541.0,35.0,59.0,377.0,0.0,77.0
9,2023-08-04 09:00:00,631.97,1541.0,36.0,59.0,377.0,0.0,91.0
10,2023-08-04 10:00:00,602.81,1539.0,14.0,58.0,376.0,0.0,199.0
11,2023-08-04 11:00:00,585.28,1540.0,16.0,59.0,378.0,0.0,264.0
12,2023-08-04 12:00:00,592.62,1541.0,21.0,59.0,377.0,0.0,236.0
13,2023-08-04 13:00:00,576.99,1541.0,35.0,59.0,376.0,8.0,289.0
14,2023-08-04 14:00:00,569.37,1543.0,32.0,59.0,378.0,43.0,287.0
15,2023-08-04 15:00:00,563.48,1535.0,14.0,58.0,372.0,70.0,291.0
16,2023-08-04 16:00:00,563.53,1544.0,19.0,58.0,381.0,78.0,278.0
17,2023-08-04 17:00:00,566.72,1556.0,24.0,58.0,376.0,76.0,276.0
18,2023-08-04 18:00:00,554.22,1557.0,16.0,59.0,373.0,60.0,350.0
19,2023-08-04 19:00:00,534.53,1539.0,26.0,58.0,378.0,75.0,411.0
20,2023-08-04 20:00:00,522.29,1453.0,27.0,58.0,374.0,55.0,443.0
21,2023-08-04 21:00:00,529.84,1456.0,32.0,57.0,378.0,69.0,392.0
22,2023-08-04 22:00:00,527.67,1511.0,38.0,56.0,376.0,78.0,426.0
23,2023-08-04 23:00:00,533.82,1520.0,39.0,56.0,377.0,68.0,410.0
