datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-19 00:00:00,2023-08-20 14:50:47,3.0,4.539473506505326,294.7096032709944,279.56049977111525,105.05415333018854,0.0841724418347231,1376.6546,82.58861,43.96972,380.78099,8531.06982,1837.78003
2023-08-19 01:00:00,2023-08-20 14:50:47,3.0,4.539473506505326,294.7096032709944,279.56049977111525,105.05415333018854,0.0841724418347231,1363.92359,76.69473,44.13417,384.67511,3836.46001,1823.93998
2023-08-19 02:00:00,2023-08-20 14:50:47,3.0,4.539473506505326,294.7096032709944,279.56049977111525,105.05415333018854,0.0841724418347231,1370.44665,67.84534,43.59061,381.97706,451.44999,1689.77998
2023-08-19 03:00:00,2023-08-20 14:50:47,3.0,4.539473506505326,294.7096032709944,279.56049977111525,105.05415333018854,0.0841724418347231,1370.29832,69.355,44.18747,378.30777,0.07,1580.57
2023-08-19 04:00:00,2023-08-20 14:50:47,3.0,3.8772317558609175,291.24477883721954,279.6050163421572,105.05415333018854,0.0841724418347231,1379.48483,69.52228,44.45864,381.83484,0.0,1482.55996
2023-08-19 05:00:00,2023-08-20 14:50:47,3.0,3.8772317558609175,291.24477883721954,279.6050163421572,105.05415333018854,0.0841724418347231,1372.48857,61.48552,44.64826,378.67607,0.0,1367.17995
2023-08-19 06:00:00,2023-08-20 14:50:47,3.0,3.8772317558609175,291.24477883721954,279.6050163421572,105.05415333018854,0.0841724418347231,1374.5174,54.82652,44.36485,377.21321,0.0,1230.68997
2023-08-19 07:00:00,2023-08-20 14:50:47,3.0,4.002569405229842,288.735196860598,279.33089196148603,52.526965309675504,0.0938841791526843,1369.53473,45.97258,44.08698,378.27794,15.75,1151.04997
2023-08-19 08:00:00,2023-08-20 14:50:47,3.0,4.002569405229842,288.735196860598,279.33089196148603,52.526965309675504,0.0938841791526843,1379.01577,41.2077,44.0873,383.67319,12.57,1050.86995
2023-08-19 09:00:00,2023-08-20 14:50:47,3.0,4.002569405229842,288.735196860598,279.33089196148603,52.526965309675504,0.0938841791526843,1387.1133,36.13289,45.22913,385.90565,7.95,948.96003
2023-08-19 10:00:00,2023-08-20 14:50:47,3.0,4.10089846540167,286.5040431356582,278.9452763216916,0.0,0.0980024512298844,1387.57621,34.73224,45.89712,386.20938,5.46,832.62001
2023-08-19 11:00:00,2023-08-20 14:50:47,3.0,4.10089846540167,286.5040431356582,278.9452763216916,0.0,0.0980024512298844,1385.55954,34.77174,44.91071,383.91679,5.25,684.58999
2023-08-19 12:00:00,2023-08-20 14:50:47,3.0,4.10089846540167,286.5040431356582,278.9452763216916,0.0,0.0980024512298844,1378.44636,34.27134,45.04568,384.59121,4.68,542.49
2023-08-19 13:00:00,2023-08-20 14:50:47,3.0,4.380102491842614,289.43712612455204,278.82303117009394,4.389375401289379e-05,0.1088943232635827,1377.34188,35.39766,44.9533,381.79358,342.15,457.57002
2023-08-19 14:00:00,2023-08-20 14:50:47,3.0,4.380102491842614,289.43712612455204,278.82303117009394,4.389375401289379e-05,0.1088943232635827,1377.53912,35.2642,44.54282,389.23748,3894.50996,438.37999
2023-08-19 15:00:00,2023-08-20 14:50:47,3.0,4.380102491842614,289.43712612455204,278.82303117009394,4.389375401289379e-05,0.1088943232635827,1380.04809,39.22424,45.29055,389.8606,7084.57983,436.04001
2023-08-19 16:00:00,2023-08-20 14:50:47,3.0,4.205416825982555,294.05025566013114,277.7730753286432,142.40578023239468,0.1172781332037414,1381.91763,42.62823,45.40741,390.74435,7752.90012,435.71
2023-08-19 17:00:00,2023-08-20 14:50:47,3.0,4.205416825982555,294.05025566013114,277.7730753286432,142.40578023239468,0.1172781332037414,1362.75243,51.44707,45.0958,385.47605,8121.08023,493.71002
2023-08-19 18:00:00,2023-08-20 14:50:47,3.0,4.205416825982555,294.05025566013114,277.7730753286432,142.40578023239468,0.1172781332037414,1352.58652,59.08488,44.7856,389.8737,7993.77011,578.33999
2023-08-19 19:00:00,2023-08-20 14:50:47,3.0,4.045564857959627,296.201180679357,277.03019516148464,367.4764522837394,0.1272078474525966,1356.63695,63.55306,45.21013,384.8726,7578.36996,635.2
2023-08-19 20:00:00,2023-08-20 14:50:47,3.0,4.045564857959627,296.201180679357,277.03019516148464,367.4764522837394,0.1272078474525966,1358.63504,66.18479,45.45558,375.98861,7239.63013,734.79999
2023-08-19 21:00:00,2023-08-20 14:50:47,3.0,4.045564857959627,296.201180679357,277.03019516148464,367.4764522837394,0.1272078474525966,1348.95382,67.53802,45.53769,376.33235,6925.06009,887.50997
2023-08-19 22:00:00,2023-08-20 14:50:47,3.0,3.876420527682429,295.14637401737525,277.3477134561534,729.529267533778,0.1928295520950997,1327.60705,68.35254,45.21606,374.86736,6302.26025,1107.06002
2023-08-19 23:00:00,2023-08-20 14:50:47,3.0,3.876420527682429,295.14637401737525,277.3477134561534,729.529267533778,0.1928295520950997,1322.37356,66.92964,44.96372,374.42923,5730.38986,1238.19999
2023-08-20 00:00:00,2023-08-20 14:50:47,3.0,3.876420527682429,295.14637401737525,277.3477134561534,729.529267533778,0.1928295520950997,1251.49189,111.45288,45.01014,380.78099,2447.20312,897.51968
2023-08-20 01:00:00,2023-08-20 14:50:47,3.0,3.0664604782338856,290.210634759444,278.48360018424165,601.015768308612,0.4165697066044947,1240.87336,104.83295,45.17301,384.67511,2177.95457,872.05817
2023-08-20 02:00:00,2023-08-20 14:50:47,3.0,3.0664604782338856,290.210634759444,278.48360018424165,601.015768308612,0.4165697066044947,1248.32985,93.43498,44.61514,381.97706,1796.57116,852.06963
2023-08-20 03:00:00,2023-08-20 14:50:47,3.0,3.0664604782338856,290.210634759444,278.48360018424165,601.015768308612,0.4165697066044947,1248.97476,95.48577,45.21796,378.30777,1571.21507,818.26619
2023-08-20 04:00:00,2023-08-20 14:50:47,3.0,2.989488301513224,288.31736092092353,278.92100181740363,86.30129500741839,0.7159600156171595,1258.10328,95.74755,45.4896,381.83484,1443.20535,771.88584
2023-08-20 05:00:00,2023-08-20 14:50:47,3.0,2.989488301513224,288.31736092092353,278.92100181740363,86.30129500741839,0.7159600156171595,1252.80363,84.54365,45.6572,378.67607,1180.26539,744.0344
