UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2023-08-24 00:00:00,2023-08-25 21:23:44,3.0,1463.0,24.0,47.0,372.0,62.0,423.0
2023-08-24 01:00:00,2023-08-25 21:23:44,3.0,1465.0,48.0,48.0,375.0,45.0,312.0
2023-08-24 02:00:00,2023-08-25 21:23:44,3.0,1457.0,36.0,51.0,374.0,7.0,205.0
2023-08-24 03:00:00,2023-08-25 21:23:44,3.0,1461.0,56.0,52.0,371.0,0.0,129.0
2023-08-24 04:00:00,2023-08-25 21:23:44,3.0,1475.0,58.0,55.0,374.0,0.0,86.0
2023-08-24 05:00:00,2023-08-25 21:23:44,3.0,1483.0,28.0,59.0,375.0,0.0,84.0
2023-08-24 06:00:00,2023-08-25 21:23:44,3.0,1487.0,50.0,61.0,369.0,0.0,55.0
2023-08-24 07:00:00,2023-08-25 21:23:44,3.0,1488.0,30.0,60.0,376.0,0.0,38.0
2023-08-24 08:00:00,2023-08-25 21:23:44,3.0,1515.0,15.0,60.0,372.0,0.0,51.0
2023-08-24 09:00:00,2023-08-25 21:23:44,3.0,1508.0,15.0,60.0,376.0,0.0,41.0
2023-08-24 10:00:00,2023-08-25 21:23:44,3.0,1540.0,16.0,61.0,374.0,0.0,45.0
2023-08-24 11:00:00,2023-08-25 21:23:44,3.0,1536.0,16.0,60.0,374.0,0.0,84.0
2023-08-24 12:00:00,2023-08-25 21:23:44,3.0,1540.0,21.0,61.0,377.0,0.0,266.0
2023-08-24 13:00:00,2023-08-25 21:23:44,3.0,1541.0,31.0,60.0,374.0,1.0,333.0
2023-08-24 14:00:00,2023-08-25 21:23:44,3.0,1533.0,36.0,59.0,375.0,28.0,291.0
2023-08-24 15:00:00,2023-08-25 21:23:44,3.0,1516.0,22.0,59.0,370.0,61.0,181.0
2023-08-24 16:00:00,2023-08-25 21:23:44,3.0,1508.0,13.0,59.0,372.0,74.0,151.0
2023-08-24 17:00:00,2023-08-25 21:23:44,3.0,1501.0,15.0,58.0,367.0,90.0,170.0
2023-08-24 18:00:00,2023-08-25 21:23:44,3.0,1503.0,23.0,58.0,366.0,90.0,256.0
2023-08-24 19:00:00,2023-08-25 21:23:44,3.0,1502.0,34.0,56.0,371.0,89.0,304.0
2023-08-24 20:00:00,2023-08-25 21:23:44,3.0,1501.0,36.0,54.0,367.0,87.0,289.0
2023-08-24 21:00:00,2023-08-25 21:23:44,3.0,1501.0,37.0,50.0,370.0,70.0,292.0
2023-08-24 22:00:00,2023-08-25 21:23:44,3.0,1495.0,34.0,48.0,372.0,75.0,340.0
2023-08-24 23:00:00,2023-08-25 21:23:44,3.0,1492.0,37.0,46.0,371.0,73.0,358.0
