datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-05 00:00:00,3.20970454294031,289.95710887012933,283.6546161097839,89.3125151960658,0.9528310602669742,1427.20312,85.78261,56.76811,380.78099,10521.05035,3111.74009
2023-08-05 01:00:00,3.20970454294031,289.95710887012933,283.6546161097839,89.3125151960658,0.9528310602669742,1413.61886,79.17004,56.91316,384.67511,5290.66998,3600.88993
2023-08-05 02:00:00,3.20970454294031,289.95710887012933,283.6546161097839,89.3125151960658,0.9528310602669742,1419.7652,69.56564,56.19348,381.97706,712.92998,3815.98992
2023-08-05 03:00:00,3.20970454294031,289.95710887012933,283.6546161097839,89.3125151960658,0.9528310602669742,1419.29615,70.60992,56.86375,378.30777,2.59,3888.05984
2023-08-05 04:00:00,2.673908129147744,288.115928331561,283.5602129098902,89.3125151960658,0.9528310602669742,1428.50618,70.44602,57.14055,381.83484,0.0,3853.36
2023-08-05 05:00:00,2.673908129147744,288.115928331561,283.5602129098902,89.3125151960658,0.9528310602669742,1420.82465,61.99858,57.05935,378.67607,0.0,3753.34008
2023-08-05 06:00:00,2.673908129147744,288.115928331561,283.5602129098902,89.3125151960658,0.9528310602669742,1422.61267,54.91601,56.60723,377.21321,0.0,3641.41997
2023-08-05 07:00:00,2.4295731681015544,287.1120632066765,283.32968982986085,44.66394828198183,1.4973752509382288,1417.00367,45.56037,56.21338,378.27794,0.0,3583.88015
2023-08-05 08:00:00,2.4295731681015544,287.1120632066765,283.32968982986085,44.66394828198183,1.4973752509382288,1426.71576,40.95564,56.17356,383.67319,0.0,3463.7501
2023-08-05 09:00:00,2.4295731681015544,287.1120632066765,283.32968982986085,44.66394828198183,1.4973752509382288,1435.23183,36.02648,57.51776,385.90565,0.0,3332.60005
2023-08-05 10:00:00,2.3250641716577185,286.3192217092426,282.96327110799814,0.0,1.8948227906732595,1435.79977,35.00443,58.2295,386.20938,0.0,3185.70998
2023-08-05 11:00:00,2.3250641716577185,286.3192217092426,282.96327110799814,0.0,1.8948227906732595,1433.48483,35.3515,57.07837,383.91679,0.0,2973.14993
2023-08-05 12:00:00,2.3250641716577185,286.3192217092426,282.96327110799814,0.0,1.8948227906732595,1425.81587,35.14235,57.21936,384.59121,0.23,2663.49991
