,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-31 00:00:00,2023-09-03 15:38:40,3.0,366.17,767.0,29.0,53.0,362.0,32.0,437.0
1,2023-08-31 01:00:00,2023-09-03 15:38:40,3.0,337.04,768.0,20.0,55.0,367.0,45.0,565.0
2,2023-08-31 02:00:00,2023-09-03 15:38:40,3.0,322.65,770.0,26.0,56.0,362.0,4.0,696.0
3,2023-08-31 03:00:00,2023-09-03 15:38:40,3.0,340.1,773.0,20.0,56.0,362.0,0.0,605.0
4,2023-08-31 04:00:00,2023-09-03 15:38:40,3.0,377.26,768.0,21.0,56.0,364.0,0.0,419.0
5,2023-08-31 05:00:00,2023-09-03 15:38:40,3.0,394.26,768.0,19.0,58.0,360.0,0.0,353.0
6,2023-08-31 06:00:00,2023-09-03 15:38:40,3.0,377.03,768.0,33.0,59.0,363.0,0.0,421.0
7,2023-08-31 07:00:00,2023-09-03 15:38:40,3.0,346.68,770.0,28.0,59.0,366.0,0.0,564.0
8,2023-08-31 08:00:00,2023-09-03 15:38:40,3.0,349.33,771.0,18.0,59.0,360.0,0.0,557.0
9,2023-08-31 09:00:00,2023-09-03 15:38:40,3.0,336.51,770.0,18.0,59.0,364.0,0.0,619.0
10,2023-08-31 10:00:00,2023-09-03 15:38:40,3.0,326.92,772.0,23.0,59.0,361.0,0.0,679.0
11,2023-08-31 11:00:00,2023-09-03 15:38:40,3.0,347.09,775.0,18.0,58.0,360.0,0.0,573.0
12,2023-08-31 12:00:00,2023-09-03 15:38:40,3.0,343.03,772.0,25.0,58.0,363.0,0.0,588.0
13,2023-08-31 13:00:00,2023-09-03 15:38:40,3.0,330.26,774.0,40.0,57.0,364.0,1.0,660.0
14,2023-08-31 14:00:00,2023-09-03 15:38:40,3.0,316.06,771.0,40.0,57.0,358.0,14.0,734.0
15,2023-08-31 15:00:00,2023-09-03 15:38:40,3.0,309.63,773.0,25.0,57.0,365.0,53.0,729.0
16,2023-08-31 16:00:00,2023-09-03 15:38:40,3.0,302.18,769.0,18.0,55.0,362.0,86.0,740.0
17,2023-08-31 17:00:00,2023-09-03 15:38:40,3.0,302.19,770.0,19.0,56.0,363.0,81.0,746.0
18,2023-08-31 18:00:00,2023-09-03 15:38:40,3.0,306.44,768.0,18.0,54.0,362.0,82.0,714.0
19,2023-08-31 19:00:00,2023-09-03 15:38:40,3.0,309.1,769.0,25.0,52.0,367.0,91.0,685.0
20,2023-08-31 20:00:00,2023-09-03 15:38:40,3.0,319.02,771.0,38.0,52.0,359.0,88.0,639.0
21,2023-08-31 21:00:00,2023-09-03 15:38:40,3.0,321.43,769.0,42.0,51.0,361.0,89.0,619.0
22,2023-08-31 22:00:00,2023-09-03 15:38:40,3.0,329.32,773.0,42.0,51.0,356.0,86.0,586.0
23,2023-08-31 23:00:00,2023-09-03 15:38:40,3.0,335.79,772.0,40.0,51.0,362.0,89.0,539.0
