UTC time,forecasted_avg_carbon_intensity
2023-08-06T00:00:00.000000000,1034.02787
2023-08-06T01:00:00.000000000,996.03914
2023-08-06T02:00:00.000000000,998.77727
2023-08-06T03:00:00.000000000,1046.01037
2023-08-06T04:00:00.000000000,1108.66167
2023-08-06T05:00:00.000000000,1160.90602
2023-08-06T06:00:00.000000000,1218.46245
2023-08-06T07:00:00.000000000,1250.663
2023-08-06T08:00:00.000000000,1250.32995
2023-08-06T09:00:00.000000000,1256.95295
2023-08-06T10:00:00.000000000,1257.41379
2023-08-06T11:00:00.000000000,1245.03674
2023-08-06T12:00:00.000000000,1258.20175
2023-08-06T13:00:00.000000000,1297.1104
2023-08-06T14:00:00.000000000,1393.81127
2023-08-06T15:00:00.000000000,1523.12646
2023-08-06T16:00:00.000000000,1664.83538
2023-08-06T17:00:00.000000000,1784.18178
2023-08-06T18:00:00.000000000,1852.33776
2023-08-06T19:00:00.000000000,1861.07061
2023-08-06T20:00:00.000000000,1825.02414
2023-08-06T21:00:00.000000000,1744.06292
2023-08-06T22:00:00.000000000,1634.56501
2023-08-06T23:00:00.000000000,1531.92702
2023-08-07T00:00:00.000000000,432.31101
2023-08-07T01:00:00.000000000,387.38093
2023-08-07T02:00:00.000000000,379.60801
2023-08-07T03:00:00.000000000,390.42162
2023-08-07T04:00:00.000000000,381.95015
2023-08-07T05:00:00.000000000,370.75998
2023-08-07T06:00:00.000000000,357.57232
2023-08-07T07:00:00.000000000,341.11535
2023-08-07T08:00:00.000000000,352.43426
2023-08-07T09:00:00.000000000,378.85005
2023-08-07T10:00:00.000000000,429.00255
2023-08-07T11:00:00.000000000,500.09369
2023-08-07T12:00:00.000000000,586.75997
2023-08-07T13:00:00.000000000,729.50586
2023-08-07T14:00:00.000000000,886.82084
2023-08-07T15:00:00.000000000,1036.6792
2023-08-07T16:00:00.000000000,1181.7074
2023-08-07T17:00:00.000000000,1276.25086
2023-08-07T18:00:00.000000000,1318.06565
2023-08-07T19:00:00.000000000,1309.61779
2023-08-07T20:00:00.000000000,1233.82453
2023-08-07T21:00:00.000000000,1098.69203
2023-08-07T22:00:00.000000000,964.54286
2023-08-07T23:00:00.000000000,868.82588
2023-08-08T00:00:00.000000000,432.30585
2023-08-08T01:00:00.000000000,387.3757
2023-08-08T02:00:00.000000000,379.60218
2023-08-08T03:00:00.000000000,390.41476
2023-08-08T04:00:00.000000000,381.94234
2023-08-08T05:00:00.000000000,370.75125
2023-08-08T06:00:00.000000000,357.56281
2023-08-08T07:00:00.000000000,341.10539
2023-08-08T08:00:00.000000000,352.42412
2023-08-08T09:00:00.000000000,378.83995
2023-08-08T10:00:00.000000000,428.99262
2023-08-08T11:00:00.000000000,500.08393
2023-08-08T12:00:00.000000000,586.75007
2023-08-08T13:00:00.000000000,729.49532
2023-08-08T14:00:00.000000000,886.80939
2023-08-08T15:00:00.000000000,1036.66662
2023-08-08T16:00:00.000000000,1181.69354
2023-08-08T17:00:00.000000000,1276.23587
2023-08-08T18:00:00.000000000,1318.04982
2023-08-08T19:00:00.000000000,1309.60167
2023-08-08T20:00:00.000000000,1233.80898
2023-08-08T21:00:00.000000000,1098.67761
2023-08-08T22:00:00.000000000,964.53
2023-08-08T23:00:00.000000000,868.81443
2023-08-09T00:00:00.000000000,300.02503
2023-08-09T01:00:00.000000000,260.58803
2023-08-09T02:00:00.000000000,251.13146
2023-08-09T03:00:00.000000000,255.37746
2023-08-09T04:00:00.000000000,244.35631
2023-08-09T05:00:00.000000000,229.85782
2023-08-09T06:00:00.000000000,215.43942
2023-08-09T07:00:00.000000000,203.31106
2023-08-09T08:00:00.000000000,218.80116
2023-08-09T09:00:00.000000000,250.80031
2023-08-09T10:00:00.000000000,305.82115
2023-08-09T11:00:00.000000000,382.74171
2023-08-09T12:00:00.000000000,470.16867
2023-08-09T13:00:00.000000000,604.47235
2023-08-09T14:00:00.000000000,751.262
2023-08-09T15:00:00.000000000,888.75921
2023-08-09T16:00:00.000000000,1015.77315
2023-08-09T17:00:00.000000000,1091.32708
2023-08-09T18:00:00.000000000,1117.05567
2023-08-09T19:00:00.000000000,1093.06246
2023-08-09T20:00:00.000000000,1009.9311
2023-08-09T21:00:00.000000000,880.82733
2023-08-09T22:00:00.000000000,757.61691
2023-08-09T23:00:00.000000000,671.82771
