,UTC time,carbon_intensity,nat_gas,hydro
0,2023-08-04 00:00:00,245.8,190.0,96.0
1,2023-08-04 01:00:00,250.81,202.0,96.0
2,2023-08-04 02:00:00,251.6,204.0,96.0
3,2023-08-04 03:00:00,263.97,239.0,96.0
4,2023-08-04 04:00:00,268.8,255.0,96.0
5,2023-08-04 05:00:00,263.29,227.0,92.0
6,2023-08-04 06:00:00,261.04,218.0,91.0
7,2023-08-04 07:00:00,250.6,191.0,91.0
8,2023-08-04 08:00:00,244.37,177.0,91.0
9,2023-08-04 09:00:00,244.83,178.0,91.0
10,2023-08-04 10:00:00,247.66,166.0,82.0
11,2023-08-04 11:00:00,250.6,170.0,81.0
12,2023-08-04 12:00:00,258.17,187.0,81.0
13,2023-08-04 13:00:00,263.92,204.0,82.0
14,2023-08-04 14:00:00,263.72,201.0,81.0
15,2023-08-04 15:00:00,252.47,174.0,81.0
16,2023-08-04 16:00:00,249.15,167.0,81.0
17,2023-08-04 17:00:00,245.68,166.0,84.0
18,2023-08-04 18:00:00,245.68,166.0,84.0
19,2023-08-04 19:00:00,245.68,166.0,84.0
20,2023-08-04 20:00:00,244.7,166.0,85.0
21,2023-08-04 21:00:00,237.18,175.0,98.0
22,2023-08-04 22:00:00,236.31,175.0,99.0
23,2023-08-04 23:00:00,247.08,201.0,100.0
