UTC time,nat_gas,hydro
2023-01-14 00:00:00,180.0,79.0
2023-01-14 01:00:00,183.0,49.0
2023-01-14 02:00:00,196.0,48.0
2023-01-14 03:00:00,195.0,48.0
2023-01-14 04:00:00,194.0,48.0
2023-01-14 05:00:00,196.0,48.0
2023-01-14 06:00:00,197.0,48.0
2023-01-14 07:00:00,201.0,48.0
2023-01-14 08:00:00,176.0,48.0
2023-01-14 09:00:00,171.0,48.0
2023-01-14 10:00:00,172.0,48.0
2023-01-14 11:00:00,172.0,48.0
2023-01-14 12:00:00,172.0,48.0
2023-01-14 13:00:00,171.0,48.0
2023-01-14 14:00:00,172.0,48.0
2023-01-14 15:00:00,173.0,48.0
2023-01-14 16:00:00,219.0,48.0
2023-01-14 17:00:00,242.0,48.0
2023-01-14 18:00:00,242.0,48.0
2023-01-14 19:00:00,242.0,49.0
2023-01-14 20:00:00,242.0,49.0
2023-01-14 21:00:00,242.0,49.0
2023-01-14 22:00:00,241.0,49.0
2023-01-14 23:00:00,241.0,49.0
