,UTC time,carbon_intensity,nat_gas,hydro
0,2023-06-26 00:00:00,246.25,195.0,98.0
1,2023-06-26 01:00:00,235.33,173.0,99.0
2,2023-06-26 02:00:00,245.4,193.0,98.0
3,2023-06-26 03:00:00,261.44,236.0,98.0
4,2023-06-26 04:00:00,261.11,235.0,98.0
5,2023-06-26 05:00:00,260.45,233.0,98.0
6,2023-06-26 06:00:00,254.45,218.0,99.0
7,2023-06-26 07:00:00,254.52,216.0,98.0
8,2023-06-26 08:00:00,251.89,209.0,98.0
9,2023-06-26 09:00:00,244.53,191.0,98.0
10,2023-06-26 10:00:00,241.42,184.0,98.0
11,2023-06-26 11:00:00,241.47,186.0,99.0
12,2023-06-26 12:00:00,242.77,187.0,98.0
13,2023-06-26 13:00:00,244.55,193.0,99.0
14,2023-06-26 14:00:00,239.64,182.0,99.0
15,2023-06-26 15:00:00,238.24,179.0,99.0
16,2023-06-26 16:00:00,246.67,198.0,99.0
17,2023-06-26 17:00:00,257.98,228.0,99.0
18,2023-06-26 18:00:00,251.84,211.0,99.0
19,2023-06-26 19:00:00,250.29,207.0,99.0
20,2023-06-26 20:00:00,251.07,209.0,99.0
21,2023-06-26 21:00:00,256.69,222.0,98.0
22,2023-06-26 22:00:00,255.17,220.0,99.0
23,2023-06-26 23:00:00,254.89,217.0,98.0
