Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
36240,2023-02-19 00:00:00,2024-07-17 00:00:00,3.1,305.02,169.0,36.0
36241,2023-02-19 01:00:00,2024-07-17 00:00:00,3.1,314.03,202.0,36.0
36242,2023-02-19 02:00:00,2024-07-17 00:00:00,3.1,317.14,216.0,36.0
36243,2023-02-19 03:00:00,2024-07-17 00:00:00,3.1,315.85,210.0,36.0
36244,2023-02-19 04:00:00,2024-07-17 00:00:00,3.1,318.37,222.0,36.0
36245,2023-02-19 05:00:00,2024-07-17 00:00:00,3.1,320.3,232.0,36.0
36246,2023-02-19 06:00:00,2024-07-17 00:00:00,3.1,318.17,221.0,36.0
36247,2023-02-19 07:00:00,2024-07-17 00:00:00,3.1,318.17,221.0,36.0
36248,2023-02-19 08:00:00,2024-07-17 00:00:00,3.1,316.51,213.0,36.0
36249,2023-02-19 09:00:00,2024-07-17 00:00:00,3.1,314.5,204.0,36.0
36250,2023-02-19 10:00:00,2024-07-17 00:00:00,3.1,314.27,203.0,36.0
36251,2023-02-19 11:00:00,2024-07-17 00:00:00,3.1,312.09,194.0,36.0
36252,2023-02-19 12:00:00,2024-07-17 00:00:00,3.1,311.83,193.0,36.0
36253,2023-02-19 13:00:00,2024-07-17 00:00:00,3.1,312.09,194.0,36.0
36254,2023-02-19 14:00:00,2024-07-17 00:00:00,3.1,314.5,204.0,36.0
36255,2023-02-19 15:00:00,2024-07-17 00:00:00,3.1,317.14,216.0,36.0
36256,2023-02-19 16:00:00,2024-07-17 00:00:00,3.1,311.06,190.0,36.0
36257,2023-02-19 17:00:00,2024-07-17 00:00:00,3.1,305.02,169.0,36.0
36258,2023-02-19 18:00:00,2024-07-17 00:00:00,3.1,304.71,168.0,36.0
36259,2023-02-19 19:00:00,2024-07-17 00:00:00,3.1,305.02,169.0,36.0
36260,2023-02-19 20:00:00,2024-07-17 00:00:00,3.1,305.02,169.0,36.0
36261,2023-02-19 21:00:00,2024-07-17 00:00:00,3.1,304.71,168.0,36.0
36262,2023-02-19 22:00:00,2024-07-17 00:00:00,3.1,304.71,168.0,36.0
36263,2023-02-19 23:00:00,2024-07-17 00:00:00,3.1,305.34,170.0,36.0
