UTC time,creation_time (UTC),version,nat_gas,hydro
2023-08-23 00:00:00,2023-08-25 17:59:20,3.0,180.0,103.0
2023-08-23 01:00:00,2023-08-25 17:59:20,3.0,208.0,105.0
2023-08-23 02:00:00,2023-08-25 17:59:20,3.0,236.0,105.0
2023-08-23 03:00:00,2023-08-25 17:59:20,3.0,274.0,105.0
2023-08-23 04:00:00,2023-08-25 17:59:20,3.0,249.0,104.0
2023-08-23 05:00:00,2023-08-25 17:59:20,3.0,231.0,91.0
2023-08-23 06:00:00,2023-08-25 17:59:20,3.0,217.0,89.0
2023-08-23 07:00:00,2023-08-25 17:59:20,3.0,203.0,89.0
2023-08-23 08:00:00,2023-08-25 17:59:20,3.0,193.0,74.0
2023-08-23 09:00:00,2023-08-25 17:59:20,3.0,185.0,73.0
2023-08-23 10:00:00,2023-08-25 17:59:20,3.0,187.0,74.0
2023-08-23 11:00:00,2023-08-25 17:59:20,3.0,185.0,74.0
2023-08-23 12:00:00,2023-08-25 17:59:20,3.0,185.0,73.0
2023-08-23 13:00:00,2023-08-25 17:59:20,3.0,208.0,73.0
2023-08-23 14:00:00,2023-08-25 17:59:20,3.0,218.0,58.0
2023-08-23 15:00:00,2023-08-25 17:59:20,3.0,201.0,58.0
2023-08-23 16:00:00,2023-08-25 17:59:20,3.0,191.0,44.0
2023-08-23 17:00:00,2023-08-25 17:59:20,3.0,179.0,42.0
2023-08-23 18:00:00,2023-08-25 17:59:20,3.0,167.0,42.0
2023-08-23 19:00:00,2023-08-25 17:59:20,3.0,195.0,43.0
2023-08-23 20:00:00,2023-08-25 17:59:20,3.0,226.0,58.0
2023-08-23 21:00:00,2023-08-25 17:59:20,3.0,223.0,73.0
2023-08-23 22:00:00,2023-08-25 17:59:20,3.0,231.0,73.0
2023-08-23 23:00:00,2023-08-25 17:59:20,3.0,314.0,81.0
