,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,259.88,236.0,100.0
1,2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,267.79,262.0,100.0
2,2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,261.95,240.0,99.0
3,2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,276.32,292.0,99.0
4,2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,268.81,263.0,99.0
5,2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,259.67,233.0,99.0
6,2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,258.66,230.0,99.0
7,2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,253.71,216.0,99.0
8,2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,255.53,221.0,99.0
9,2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,265.86,217.0,85.0
10,2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,264.29,210.0,84.0
11,2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,264.29,210.0,84.0
12,2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,264.83,209.0,83.0
13,2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,270.67,218.0,80.0
14,2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,271.66,221.0,80.0
15,2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,257.75,186.0,81.0
16,2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,249.15,167.0,81.0
17,2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,248.66,166.0,81.0
18,2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,250.12,169.0,81.0
19,2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,259.41,190.0,81.0
20,2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,252.4,176.0,82.0
21,2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,238.93,175.0,96.0
22,2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,239.01,177.0,97.0
23,2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,244.95,190.0,97.0
