UTC time,nat_gas,hydro
2023-09-29 00:00:00,188.0,46.0
2023-09-29 01:00:00,207.0,46.0
2023-09-29 02:00:00,212.0,46.0
2023-09-29 03:00:00,191.0,46.0
2023-09-29 04:00:00,196.0,47.0
2023-09-29 05:00:00,202.0,50.0
2023-09-29 06:00:00,191.0,50.0
2023-09-29 07:00:00,187.0,50.0
2023-09-29 08:00:00,193.0,50.0
2023-09-29 09:00:00,205.0,50.0
2023-09-29 10:00:00,189.0,50.0
2023-09-29 11:00:00,184.0,50.0
2023-09-29 12:00:00,189.0,50.0
2023-09-29 13:00:00,209.0,50.0
2023-09-29 14:00:00,222.0,49.0
2023-09-29 15:00:00,211.0,49.0
2023-09-29 16:00:00,201.0,49.0
2023-09-29 17:00:00,194.0,49.0
2023-09-29 18:00:00,202.0,49.0
2023-09-29 19:00:00,179.0,49.0
2023-09-29 20:00:00,192.0,52.0
2023-09-29 21:00:00,205.0,49.0
2023-09-29 22:00:00,215.0,49.0
2023-09-29 23:00:00,229.0,52.0
