UTC time,creation_time (UTC),version,nat_gas,hydro
2023-08-17 00:00:00,2023-08-18 22:28:40,3.0,332.0,120.0
2023-08-17 01:00:00,2023-08-18 22:28:40,3.0,332.0,124.0
2023-08-17 02:00:00,2023-08-18 22:28:40,3.0,327.0,124.0
2023-08-17 03:00:00,2023-08-18 22:28:40,3.0,326.0,123.0
2023-08-17 04:00:00,2023-08-18 22:28:40,3.0,362.0,120.0
2023-08-17 05:00:00,2023-08-18 22:28:40,3.0,352.0,120.0
2023-08-17 06:00:00,2023-08-18 22:28:40,3.0,286.0,120.0
2023-08-17 07:00:00,2023-08-18 22:28:40,3.0,229.0,120.0
2023-08-17 08:00:00,2023-08-18 22:28:40,3.0,239.0,120.0
2023-08-17 09:00:00,2023-08-18 22:28:40,3.0,238.0,120.0
2023-08-17 10:00:00,2023-08-18 22:28:40,3.0,237.0,120.0
2023-08-17 11:00:00,2023-08-18 22:28:40,3.0,232.0,120.0
2023-08-17 12:00:00,2023-08-18 22:28:40,3.0,258.0,120.0
2023-08-17 13:00:00,2023-08-18 22:28:40,3.0,297.0,120.0
2023-08-17 14:00:00,2023-08-18 22:28:40,3.0,281.0,120.0
2023-08-17 15:00:00,2023-08-18 22:28:40,3.0,252.0,120.0
2023-08-17 16:00:00,2023-08-18 22:28:40,3.0,240.0,120.0
2023-08-17 17:00:00,2023-08-18 22:28:40,3.0,240.0,120.0
2023-08-17 18:00:00,2023-08-18 22:28:40,3.0,240.0,120.0
2023-08-17 19:00:00,2023-08-18 22:28:40,3.0,245.0,120.0
2023-08-17 20:00:00,2023-08-18 22:28:40,3.0,274.0,120.0
2023-08-17 21:00:00,2023-08-18 22:28:40,3.0,328.0,120.0
2023-08-17 22:00:00,2023-08-18 22:28:40,3.0,292.0,119.0
2023-08-17 23:00:00,2023-08-18 22:28:40,3.0,286.0,119.0
