UTC time,creation_time (UTC),version,nat_gas,hydro
2023-09-05 00:00:00,2023-09-08 17:38:55,3.0,181.0,60.0
2023-09-05 01:00:00,2023-09-08 17:38:55,3.0,205.0,61.0
2023-09-05 02:00:00,2023-09-08 17:38:55,3.0,252.0,60.0
2023-09-05 03:00:00,2023-09-08 17:38:55,3.0,339.0,61.0
2023-09-05 04:00:00,2023-09-08 17:38:55,3.0,308.0,62.0
2023-09-05 05:00:00,2023-09-08 17:38:55,3.0,242.0,62.0
2023-09-05 06:00:00,2023-09-08 17:38:55,3.0,231.0,49.0
2023-09-05 07:00:00,2023-09-08 17:38:55,3.0,221.0,49.0
2023-09-05 08:00:00,2023-09-08 17:38:55,3.0,227.0,49.0
2023-09-05 09:00:00,2023-09-08 17:38:55,3.0,204.0,49.0
2023-09-05 10:00:00,2023-09-08 17:38:55,3.0,214.0,49.0
2023-09-05 11:00:00,2023-09-08 17:38:55,3.0,214.0,61.0
2023-09-05 12:00:00,2023-09-08 17:38:55,3.0,228.0,62.0
2023-09-05 13:00:00,2023-09-08 17:38:55,3.0,232.0,62.0
2023-09-05 14:00:00,2023-09-08 17:38:55,3.0,264.0,62.0
2023-09-05 15:00:00,2023-09-08 17:38:55,3.0,324.0,62.0
2023-09-05 16:00:00,2023-09-08 17:38:55,3.0,266.0,62.0
2023-09-05 17:00:00,2023-09-08 17:38:55,3.0,232.0,62.0
2023-09-05 18:00:00,2023-09-08 17:38:55,3.0,313.0,48.0
2023-09-05 19:00:00,2023-09-08 17:38:55,3.0,376.0,44.0
2023-09-05 20:00:00,2023-09-08 17:38:55,3.0,367.0,30.0
2023-09-05 21:00:00,2023-09-08 17:38:55,3.0,366.0,20.0
2023-09-05 22:00:00,2023-09-08 17:38:55,3.0,333.0,20.0
2023-09-05 23:00:00,2023-09-08 17:38:55,3.0,356.0,21.0
