,UTC time,carbon_intensity,nat_gas,hydro
0,2023-06-26 00:00:00,334.14,195.0,98.0
1,2023-06-26 01:00:00,320.39,173.0,99.0
2,2023-06-26 02:00:00,333.07,193.0,98.0
3,2023-06-26 03:00:00,353.27,236.0,98.0
4,2023-06-26 04:00:00,352.86,235.0,98.0
5,2023-06-26 05:00:00,352.03,233.0,98.0
6,2023-06-26 06:00:00,344.47,218.0,99.0
7,2023-06-26 07:00:00,344.56,216.0,98.0
8,2023-06-26 08:00:00,341.24,209.0,98.0
9,2023-06-26 09:00:00,331.98,191.0,98.0
10,2023-06-26 10:00:00,328.06,184.0,98.0
11,2023-06-26 11:00:00,328.13,186.0,99.0
12,2023-06-26 12:00:00,329.76,187.0,98.0
13,2023-06-26 13:00:00,332.01,193.0,99.0
14,2023-06-26 14:00:00,325.82,182.0,99.0
15,2023-06-26 15:00:00,324.05,179.0,99.0
16,2023-06-26 16:00:00,334.67,198.0,99.0
17,2023-06-26 17:00:00,348.92,228.0,99.0
18,2023-06-26 18:00:00,341.18,211.0,99.0
19,2023-06-26 19:00:00,339.24,207.0,99.0
20,2023-06-26 20:00:00,340.21,209.0,99.0
21,2023-06-26 21:00:00,347.29,222.0,98.0
22,2023-06-26 22:00:00,345.38,220.0,99.0
23,2023-06-26 23:00:00,345.02,217.0,98.0
