UTC time,nat_gas,hydro
2023-06-27 00:00:00,218.0,98.0
2023-06-27 01:00:00,237.0,98.0
2023-06-27 02:00:00,240.0,98.0
2023-06-27 03:00:00,231.0,98.0
2023-06-27 04:00:00,238.0,98.0
2023-06-27 05:00:00,227.0,99.0
2023-06-27 06:00:00,234.0,98.0
2023-06-27 07:00:00,223.0,98.0
2023-06-27 08:00:00,226.0,98.0
2023-06-27 09:00:00,204.0,98.0
2023-06-27 10:00:00,199.0,98.0
2023-06-27 11:00:00,201.0,98.0
2023-06-27 12:00:00,201.0,98.0
2023-06-27 13:00:00,250.0,98.0
2023-06-27 14:00:00,235.0,98.0
2023-06-27 15:00:00,204.0,98.0
2023-06-27 16:00:00,204.0,99.0
2023-06-27 17:00:00,204.0,99.0
2023-06-27 18:00:00,204.0,99.0
2023-06-27 19:00:00,204.0,99.0
2023-06-27 20:00:00,205.0,99.0
2023-06-27 21:00:00,207.0,99.0
2023-06-27 22:00:00,210.0,99.0
2023-06-27 23:00:00,210.0,99.0
