Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
39672,2023-07-12 00:00:00,2024-07-17 00:00:00,3.1,373.19,281.0,94.0
39673,2023-07-12 01:00:00,2024-07-17 00:00:00,3.1,371.93,277.0,94.0
39674,2023-07-12 02:00:00,2024-07-17 00:00:00,3.1,380.88,278.0,85.0
39675,2023-07-12 03:00:00,2024-07-17 00:00:00,3.1,392.87,319.0,84.0
39676,2023-07-12 04:00:00,2024-07-17 00:00:00,3.1,391.89,315.0,84.0
39677,2023-07-12 05:00:00,2024-07-17 00:00:00,3.1,375.88,259.0,84.0
39678,2023-07-12 06:00:00,2024-07-17 00:00:00,3.1,363.73,226.0,84.0
39679,2023-07-12 07:00:00,2024-07-17 00:00:00,3.1,357.76,212.0,84.0
39680,2023-07-12 08:00:00,2024-07-17 00:00:00,3.1,357.76,212.0,84.0
39681,2023-07-12 09:00:00,2024-07-17 00:00:00,3.1,353.61,203.0,84.0
39682,2023-07-12 10:00:00,2024-07-17 00:00:00,3.1,352.17,200.0,84.0
39683,2023-07-12 11:00:00,2024-07-17 00:00:00,3.1,350.2,196.0,84.0
39684,2023-07-12 12:00:00,2024-07-17 00:00:00,3.1,351.19,198.0,84.0
39685,2023-07-12 13:00:00,2024-07-17 00:00:00,3.1,352.65,201.0,84.0
39686,2023-07-12 14:00:00,2024-07-17 00:00:00,3.1,353.13,202.0,84.0
39687,2023-07-12 15:00:00,2024-07-17 00:00:00,3.1,340.88,170.0,80.0
39688,2023-07-12 16:00:00,2024-07-17 00:00:00,3.1,339.12,165.0,79.0
39689,2023-07-12 17:00:00,2024-07-17 00:00:00,3.1,339.12,165.0,79.0
39690,2023-07-12 18:00:00,2024-07-17 00:00:00,3.1,339.74,166.0,79.0
39691,2023-07-12 19:00:00,2024-07-17 00:00:00,3.1,342.15,170.0,79.0
39692,2023-07-12 20:00:00,2024-07-17 00:00:00,3.1,358.05,200.0,79.0
39693,2023-07-12 21:00:00,2024-07-17 00:00:00,3.1,364.14,227.0,84.0
39694,2023-07-12 22:00:00,2024-07-17 00:00:00,3.1,349.6,218.0,94.0
39695,2023-07-12 23:00:00,2024-07-17 00:00:00,3.1,348.92,228.0,99.0
