UTC time,creation_time (UTC),version,forecasted_avg_carbon_intensity
2023-09-02T00:00:00.000000000,2023-09-03 16:44:46,3.0,408.26298
2023-09-02T01:00:00.000000000,2023-09-03 16:44:46,3.0,406.94597
2023-09-02T02:00:00.000000000,2023-09-03 16:44:46,3.0,407.4604
2023-09-02T03:00:00.000000000,2023-09-03 16:44:46,3.0,412.29253
2023-09-02T04:00:00.000000000,2023-09-03 16:44:46,3.0,415.58352
2023-09-02T05:00:00.000000000,2023-09-03 16:44:46,3.0,416.05634
2023-09-02T06:00:00.000000000,2023-09-03 16:44:46,3.0,414.701
2023-09-02T07:00:00.000000000,2023-09-03 16:44:46,3.0,419.37783
2023-09-02T08:00:00.000000000,2023-09-03 16:44:46,3.0,424.53195
2023-09-02T09:00:00.000000000,2023-09-03 16:44:46,3.0,420.6549
2023-09-02T10:00:00.000000000,2023-09-03 16:44:46,3.0,418.81492
2023-09-02T11:00:00.000000000,2023-09-03 16:44:46,3.0,415.85103
2023-09-02T12:00:00.000000000,2023-09-03 16:44:46,3.0,420.53846
2023-09-02T13:00:00.000000000,2023-09-03 16:44:46,3.0,419.31939
2023-09-02T14:00:00.000000000,2023-09-03 16:44:46,3.0,417.63903
2023-09-02T15:00:00.000000000,2023-09-03 16:44:46,3.0,417.41372
2023-09-02T16:00:00.000000000,2023-09-03 16:44:46,3.0,418.67822
2023-09-02T17:00:00.000000000,2023-09-03 16:44:46,3.0,422.75196
2023-09-02T18:00:00.000000000,2023-09-03 16:44:46,3.0,422.31025
2023-09-02T19:00:00.000000000,2023-09-03 16:44:46,3.0,418.29773
2023-09-02T20:00:00.000000000,2023-09-03 16:44:46,3.0,420.20424
2023-09-02T21:00:00.000000000,2023-09-03 16:44:46,3.0,418.03531
2023-09-02T22:00:00.000000000,2023-09-03 16:44:46,3.0,418.7483
2023-09-02T23:00:00.000000000,2023-09-03 16:44:46,3.0,414.94022
2023-09-03T00:00:00.000000000,2023-09-03 16:44:46,3.0,426.66904
2023-09-03T01:00:00.000000000,2023-09-03 16:44:46,3.0,422.96444
2023-09-03T02:00:00.000000000,2023-09-03 16:44:46,3.0,421.2907
2023-09-03T03:00:00.000000000,2023-09-03 16:44:46,3.0,424.88955
2023-09-03T04:00:00.000000000,2023-09-03 16:44:46,3.0,427.44427
2023-09-03T05:00:00.000000000,2023-09-03 16:44:46,3.0,428.04112
2023-09-03T06:00:00.000000000,2023-09-03 16:44:46,3.0,427.23664
2023-09-03T07:00:00.000000000,2023-09-03 16:44:46,3.0,433.25043
2023-09-03T08:00:00.000000000,2023-09-03 16:44:46,3.0,439.88999
2023-09-03T09:00:00.000000000,2023-09-03 16:44:46,3.0,436.37267
2023-09-03T10:00:00.000000000,2023-09-03 16:44:46,3.0,435.50272
2023-09-03T11:00:00.000000000,2023-09-03 16:44:46,3.0,433.32136
2023-09-03T12:00:00.000000000,2023-09-03 16:44:46,3.0,438.30515
2023-09-03T13:00:00.000000000,2023-09-03 16:44:46,3.0,436.63735
2023-09-03T14:00:00.000000000,2023-09-03 16:44:46,3.0,434.19103
2023-09-03T15:00:00.000000000,2023-09-03 16:44:46,3.0,433.10062
2023-09-03T16:00:00.000000000,2023-09-03 16:44:46,3.0,433.88544
2023-09-03T17:00:00.000000000,2023-09-03 16:44:46,3.0,437.93879
