UTC time,wind,unknown,hydro,nat_gas,nuclear,solar
2023-01-01 00:00:00,5928.0,659.0,2563.0,0.0,5800.0,0.0
2023-01-01 01:00:00,5990.0,658.0,2535.0,0.0,5799.0,0.0
2023-01-01 02:00:00,6039.0,659.0,2503.0,0.0,5799.0,0.0
2023-01-01 03:00:00,5970.0,670.0,2511.0,0.0,5800.0,0.0
2023-01-01 04:00:00,5961.0,671.0,2596.0,0.0,5800.0,0.0
2023-01-01 05:00:00,5942.0,668.0,2690.0,0.0,5799.0,0.0
2023-01-01 06:00:00,6030.0,677.0,2752.0,0.0,5799.0,0.0
2023-01-01 07:00:00,6162.0,720.0,2789.0,0.0,5798.0,0.0
2023-01-01 08:00:00,6284.0,746.0,2810.0,0.0,5798.0,1.0
2023-01-01 09:00:00,6373.0,761.0,2916.0,0.0,5798.0,7.0
2023-01-01 10:00:00,6205.0,751.0,2963.0,0.0,5798.0,14.0
2023-01-01 11:00:00,6194.0,797.0,2986.0,0.0,5798.0,14.0
2023-01-01 12:00:00,6047.0,829.0,3099.0,0.0,5799.0,12.0
2023-01-01 13:00:00,6140.0,904.0,3725.0,0.0,5799.0,3.0
2023-01-01 14:00:00,6170.0,1026.0,4399.0,0.0,5799.0,1.0
2023-01-01 15:00:00,6174.0,1065.0,5681.0,0.0,5800.0,0.0
2023-01-01 16:00:00,6122.0,1074.0,6427.0,0.0,5800.0,0.0
2023-01-01 17:00:00,6179.0,955.0,7041.0,0.0,5798.0,0.0
2023-01-01 18:00:00,5977.0,953.0,7097.0,0.0,5797.0,0.0
2023-01-01 19:00:00,5799.0,891.0,6916.0,0.0,5797.0,0.0
2023-01-01 20:00:00,5763.0,888.0,6584.0,0.0,5798.0,0.0
2023-01-01 21:00:00,5550.0,895.0,6436.0,0.0,5798.0,0.0
2023-01-01 22:00:00,5399.0,880.0,5828.0,0.0,5798.0,0.0
2023-01-01 23:00:00,5112.0,882.0,5403.0,0.0,5798.0,0.0
2023-01-02 00:00:00,5086.0,906.0,4982.0,0.0,5797.0,0.0
