UTC time,hydro,other
2023-05-10 00:00:00,1035.0,0.0
2023-05-10 01:00:00,695.0,0.0
2023-05-10 02:00:00,565.0,0.0
2023-05-10 03:00:00,322.0,0.0
2023-05-10 04:00:00,327.0,0.0
2023-05-10 05:00:00,251.0,0.0
2023-05-10 06:00:00,261.0,0.0
2023-05-10 07:00:00,355.0,0.0
2023-05-10 08:00:00,359.0,0.0
2023-05-10 09:00:00,408.0,0.0
2023-05-10 10:00:00,410.0,0.0
2023-05-10 11:00:00,411.0,0.0
2023-05-10 12:00:00,410.0,0.0
2023-05-10 13:00:00,409.0,0.0
2023-05-10 14:00:00,383.0,0.0
2023-05-10 15:00:00,384.0,0.0
2023-05-10 16:00:00,384.0,0.0
2023-05-10 17:00:00,389.0,0.0
2023-05-10 18:00:00,485.0,0.0
2023-05-10 19:00:00,549.0,0.0
2023-05-10 20:00:00,609.0,0.0
2023-05-10 21:00:00,847.0,0.0
2023-05-10 22:00:00,1006.0,0.0
2023-05-10 23:00:00,1014.0,0.0
