Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
38904,2023-06-12 00:00:00,2024-07-17 00:00:00,3.1,218.17,386.0,236.0
38905,2023-06-12 01:00:00,2024-07-17 00:00:00,3.1,220.29,380.0,236.0
38906,2023-06-12 02:00:00,2024-07-17 00:00:00,3.1,261.56,284.0,237.0
38907,2023-06-12 03:00:00,2024-07-17 00:00:00,3.1,380.63,120.0,235.0
38908,2023-06-12 04:00:00,2024-07-17 00:00:00,3.1,372.16,115.0,211.0
38909,2023-06-12 05:00:00,2024-07-17 00:00:00,3.1,365.11,119.0,207.0
38910,2023-06-12 06:00:00,2024-07-17 00:00:00,3.1,336.23,147.0,207.0
38911,2023-06-12 07:00:00,2024-07-17 00:00:00,3.1,300.63,188.0,206.0
38912,2023-06-12 08:00:00,2024-07-17 00:00:00,3.1,298.42,190.0,205.0
38913,2023-06-12 09:00:00,2024-07-17 00:00:00,3.1,294.72,194.0,204.0
38914,2023-06-12 10:00:00,2024-07-17 00:00:00,3.1,294.72,194.0,204.0
38915,2023-06-12 11:00:00,2024-07-17 00:00:00,3.1,293.22,197.0,205.0
38916,2023-06-12 12:00:00,2024-07-17 00:00:00,3.1,293.89,198.0,207.0
38917,2023-06-12 13:00:00,2024-07-17 00:00:00,3.1,295.16,201.0,212.0
38918,2023-06-12 14:00:00,2024-07-17 00:00:00,3.1,279.18,249.0,235.0
38919,2023-06-12 15:00:00,2024-07-17 00:00:00,3.1,278.61,250.0,235.0
38920,2023-06-12 16:00:00,2024-07-17 00:00:00,3.1,287.5,236.0,236.0
38921,2023-06-12 17:00:00,2024-07-17 00:00:00,3.1,223.93,370.0,236.0
38922,2023-06-12 18:00:00,2024-07-17 00:00:00,3.1,195.25,459.0,236.0
38923,2023-06-12 19:00:00,2024-07-17 00:00:00,3.1,193.3,468.0,237.0
38924,2023-06-12 20:00:00,2024-07-17 00:00:00,3.1,171.99,553.0,236.0
38925,2023-06-12 21:00:00,2024-07-17 00:00:00,3.1,144.36,701.0,235.0
38926,2023-06-12 22:00:00,2024-07-17 00:00:00,3.1,139.18,739.0,236.0
38927,2023-06-12 23:00:00,2024-07-17 00:00:00,3.1,139.61,736.0,236.0
