UTC time,hydro,other
2023-01-17 00:00:00,343.0,235.0
2023-01-17 01:00:00,236.0,236.0
2023-01-17 02:00:00,98.0,234.0
2023-01-17 03:00:00,58.0,236.0
2023-01-17 04:00:00,55.0,233.0
2023-01-17 05:00:00,20.0,215.0
2023-01-17 06:00:00,18.0,212.0
2023-01-17 07:00:00,19.0,207.0
2023-01-17 08:00:00,18.0,206.0
2023-01-17 09:00:00,17.0,207.0
2023-01-17 10:00:00,16.0,207.0
2023-01-17 11:00:00,19.0,209.0
2023-01-17 12:00:00,75.0,230.0
2023-01-17 13:00:00,305.0,235.0
2023-01-17 14:00:00,334.0,235.0
2023-01-17 15:00:00,553.0,237.0
2023-01-17 16:00:00,453.0,235.0
2023-01-17 17:00:00,297.0,236.0
2023-01-17 18:00:00,292.0,235.0
2023-01-17 19:00:00,130.0,236.0
2023-01-17 20:00:00,128.0,236.0
2023-01-17 21:00:00,84.0,236.0
2023-01-17 22:00:00,81.0,236.0
2023-01-17 23:00:00,88.0,234.0
