UTC time,hydro,other
2023-12-03 00:00:00,46.0,0.0
2023-12-03 01:00:00,27.0,0.0
2023-12-03 02:00:00,28.0,0.0
2023-12-03 03:00:00,26.0,0.0
2023-12-03 04:00:00,9.0,0.0
2023-12-03 05:00:00,8.0,0.0
2023-12-03 06:00:00,6.0,0.0
2023-12-03 07:00:00,7.0,0.0
2023-12-03 08:00:00,27.0,0.0
2023-12-03 09:00:00,28.0,0.0
2023-12-03 10:00:00,7.0,0.0
2023-12-03 11:00:00,7.0,0.0
2023-12-03 12:00:00,14.0,0.0
2023-12-03 13:00:00,194.0,0.0
2023-12-03 14:00:00,201.0,0.0
2023-12-03 15:00:00,196.0,0.0
2023-12-03 16:00:00,66.0,0.0
2023-12-03 17:00:00,65.0,0.0
2023-12-03 18:00:00,62.0,0.0
2023-12-03 19:00:00,63.0,0.0
2023-12-03 20:00:00,64.0,0.0
2023-12-03 21:00:00,63.0,0.0
2023-12-03 22:00:00,62.0,0.0
2023-12-03 23:00:00,63.0,0.0
