Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
35304,2023-01-13 00:00:00,2024-07-17 00:00:00,3.1,143.59,1098.0,236.0
35305,2023-01-13 01:00:00,2024-07-17 00:00:00,3.1,142.17,1114.0,236.0
35306,2023-01-13 02:00:00,2024-07-17 00:00:00,3.1,185.94,746.0,235.0
35307,2023-01-13 03:00:00,2024-07-17 00:00:00,3.1,261.4,436.0,236.0
35308,2023-01-13 04:00:00,2024-07-17 00:00:00,3.1,376.24,216.0,235.0
35309,2023-01-13 05:00:00,2024-07-17 00:00:00,3.1,383.32,208.0,236.0
35310,2023-01-13 06:00:00,2024-07-17 00:00:00,3.1,413.36,173.0,235.0
35311,2023-01-13 07:00:00,2024-07-17 00:00:00,3.1,494.61,103.0,236.0
35312,2023-01-13 08:00:00,2024-07-17 00:00:00,3.1,496.0,102.0,236.0
35313,2023-01-13 09:00:00,2024-07-17 00:00:00,3.1,585.75,48.0,236.0
35314,2023-01-13 10:00:00,2024-07-17 00:00:00,3.1,621.22,31.0,235.0
35315,2023-01-13 11:00:00,2024-07-17 00:00:00,3.1,532.08,78.0,236.0
35316,2023-01-13 12:00:00,2024-07-17 00:00:00,3.1,311.79,317.0,235.0
35317,2023-01-13 13:00:00,2024-07-17 00:00:00,3.1,127.46,1306.0,236.0
35318,2023-01-13 14:00:00,2024-07-17 00:00:00,3.1,122.12,1384.0,235.0
35319,2023-01-13 15:00:00,2024-07-17 00:00:00,3.1,124.29,1349.0,235.0
35320,2023-01-13 16:00:00,2024-07-17 00:00:00,3.1,130.47,1257.0,235.0
35321,2023-01-13 17:00:00,2024-07-17 00:00:00,3.1,198.0,678.0,235.0
35322,2023-01-13 18:00:00,2024-07-17 00:00:00,3.1,312.49,317.0,236.0
35323,2023-01-13 19:00:00,2024-07-17 00:00:00,3.1,538.11,74.0,235.0
35324,2023-01-13 20:00:00,2024-07-17 00:00:00,3.1,555.79,64.0,236.0
35325,2023-01-13 21:00:00,2024-07-17 00:00:00,3.1,550.52,67.0,236.0
35326,2023-01-13 22:00:00,2024-07-17 00:00:00,3.1,543.66,71.0,236.0
35327,2023-01-13 23:00:00,2024-07-17 00:00:00,3.1,503.35,96.0,234.0
