UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_hydro_production_forecast,avg_other_production_forecast
2023-04-25 00:00:00,2024-07-17 00:00:00,3.1,3.4261032936281337,285.1345957324462,280.8403403407766,315.7772502725324,1.7993805810443146,502.94174,14.43017
2023-04-25 01:00:00,2024-07-17 00:00:00,3.1,3.131288070339952,283.7175051781701,279.7747876439981,5.970310039211707,0.6276194647850892,462.87717,11.79277
2023-04-25 02:00:00,2024-07-17 00:00:00,3.1,3.131288070339952,283.7175051781701,279.7747876439981,5.970310039211707,0.6276194647850892,408.38775,12.39267
2023-04-25 03:00:00,2024-07-17 00:00:00,3.1,3.131288070339952,283.7175051781701,279.7747876439981,5.970310039211707,0.6276194647850892,408.24478,19.58776
2023-04-25 04:00:00,2024-07-17 00:00:00,3.1,3.034147116495018,282.4301195271018,279.3590151766125,2.9855289609492486,0.98543999054147,405.93015,25.39345
2023-04-25 05:00:00,2024-07-17 00:00:00,3.1,3.034147116495018,282.4301195271018,279.3590151766125,2.9855289609492486,0.98543999054147,419.42941,30.87541
2023-04-25 06:00:00,2024-07-17 00:00:00,3.1,3.034147116495018,282.4301195271018,279.3590151766125,2.9855289609492486,0.98543999054147,425.33191,33.86607
2023-04-25 07:00:00,2024-07-17 00:00:00,3.1,3.398505280383503,281.4624205042449,279.03056055698414,0.0,0.2394982189683521,437.14106,37.29311
2023-04-25 08:00:00,2024-07-17 00:00:00,3.1,3.398505280383503,281.4624205042449,279.03056055698414,0.0,0.2394982189683521,442.21078,38.0951
2023-04-25 09:00:00,2024-07-17 00:00:00,3.1,3.398505280383503,281.4624205042449,279.03056055698414,0.0,0.2394982189683521,424.64404,39.45114
2023-04-25 10:00:00,2024-07-17 00:00:00,3.1,3.636390546740603,280.9134209367584,278.80999942120866,1.5861409807066271,0.4817672468082188,426.42684,39.98842
2023-04-25 11:00:00,2024-07-17 00:00:00,3.1,3.636390546740603,280.9134209367584,278.80999942120866,1.5861409807066271,0.4817672468082188,469.23126,43.24942
