UTC time,hydro,other
2023-07-16 00:00:00,957.0,236.0
2023-07-16 01:00:00,463.0,235.0
2023-07-16 02:00:00,386.0,235.0
2023-07-16 03:00:00,310.0,235.0
2023-07-16 04:00:00,272.0,236.0
2023-07-16 05:00:00,171.0,235.0
2023-07-16 06:00:00,176.0,225.0
2023-07-16 07:00:00,209.0,196.0
2023-07-16 08:00:00,235.0,175.0
2023-07-16 09:00:00,272.0,173.0
2023-07-16 10:00:00,289.0,173.0
2023-07-16 11:00:00,293.0,174.0
2023-07-16 12:00:00,288.0,174.0
2023-07-16 13:00:00,369.0,204.0
2023-07-16 14:00:00,372.0,209.0
2023-07-16 15:00:00,387.0,219.0
2023-07-16 16:00:00,385.0,229.0
2023-07-16 17:00:00,389.0,235.0
2023-07-16 18:00:00,437.0,236.0
2023-07-16 19:00:00,518.0,235.0
2023-07-16 20:00:00,664.0,236.0
2023-07-16 21:00:00,1005.0,235.0
2023-07-16 22:00:00,1186.0,235.0
2023-07-16 23:00:00,1190.0,234.0
