,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-08-15 00:00:00,2023-08-18 21:41:24,3.0,350.79,16349.0,3724.0,0.0,186.0,4717.0
1,2023-08-15 01:00:00,2023-08-18 21:41:24,3.0,350.26,15982.0,3727.0,0.0,7.0,4416.0
2,2023-08-15 02:00:00,2023-08-18 21:41:24,3.0,349.09,14915.0,3732.0,0.0,0.0,4386.0
3,2023-08-15 03:00:00,2023-08-18 21:41:24,3.0,349.07,13456.0,3727.0,0.0,0.0,4512.0
4,2023-08-15 04:00:00,2023-08-18 21:41:24,3.0,346.13,12097.0,3728.0,0.0,0.0,4376.0
5,2023-08-15 05:00:00,2023-08-18 21:41:24,3.0,338.29,11094.0,3726.0,0.0,0.0,3839.0
6,2023-08-15 06:00:00,2023-08-18 21:41:24,3.0,332.75,10358.0,3730.0,0.0,0.0,3531.0
7,2023-08-15 07:00:00,2023-08-18 21:41:24,3.0,328.76,9693.0,3731.0,0.0,0.0,3358.0
8,2023-08-15 08:00:00,2023-08-18 21:41:24,3.0,327.38,9148.0,3733.0,0.0,0.0,3361.0
9,2023-08-15 09:00:00,2023-08-18 21:41:24,3.0,326.72,8928.0,3735.0,0.0,0.0,3359.0
10,2023-08-15 10:00:00,2023-08-18 21:41:24,3.0,327.41,9186.0,3736.0,0.0,0.0,3360.0
11,2023-08-15 11:00:00,2023-08-18 21:41:24,3.0,329.13,9865.0,3736.0,0.0,0.0,3361.0
12,2023-08-15 12:00:00,2023-08-18 21:41:24,3.0,326.52,9988.0,3737.0,0.0,150.0,3360.0
13,2023-08-15 13:00:00,2023-08-18 21:41:24,3.0,311.94,10601.0,3738.0,0.0,1065.0,3356.0
14,2023-08-15 14:00:00,2023-08-18 21:41:24,3.0,298.1,11481.0,3739.0,0.0,2139.0,3347.0
15,2023-08-15 15:00:00,2023-08-18 21:41:24,3.0,289.65,12688.0,3738.0,0.0,3084.0,3352.0
16,2023-08-15 16:00:00,2023-08-18 21:41:24,3.0,291.28,13813.0,3736.0,0.0,3577.0,3675.0
17,2023-08-15 17:00:00,2023-08-18 21:41:24,3.0,294.38,14696.0,3733.0,0.0,3833.0,3977.0
18,2023-08-15 18:00:00,2023-08-18 21:41:24,3.0,301.97,15774.0,3731.0,0.0,3640.0,4222.0
19,2023-08-15 19:00:00,2023-08-18 21:41:24,3.0,306.23,16094.0,3725.0,0.0,3465.0,4374.0
20,2023-08-15 20:00:00,2023-08-18 21:41:24,3.0,310.91,15997.0,3720.0,0.0,3080.0,4426.0
21,2023-08-15 21:00:00,2023-08-18 21:41:24,3.0,318.1,15893.0,3714.0,0.0,2495.0,4477.0
22,2023-08-15 22:00:00,2023-08-18 21:41:24,3.0,325.16,15748.0,3713.0,0.0,1904.0,4484.0
23,2023-08-15 23:00:00,2023-08-18 21:41:24,3.0,333.99,15593.0,3715.0,0.0,1178.0,4451.0
