UTC time,creation_time (UTC),version,nat_gas,nuclear,oil,solar,other
2023-09-07 00:00:00,2023-09-08 23:15:10,3.0,15364.0,3710.0,0.0,201.0,5448.0
2023-09-07 01:00:00,2023-09-08 23:15:10,3.0,14849.0,3707.0,0.0,28.0,5333.0
2023-09-07 02:00:00,2023-09-08 23:15:10,3.0,13946.0,3706.0,0.0,28.0,4766.0
2023-09-07 03:00:00,2023-09-08 23:15:10,3.0,12333.0,3707.0,0.0,28.0,4412.0
2023-09-07 04:00:00,2023-09-08 23:15:10,3.0,10870.0,3711.0,0.0,28.0,3634.0
2023-09-07 05:00:00,2023-09-08 23:15:10,3.0,9552.0,3710.0,0.0,28.0,3379.0
2023-09-07 06:00:00,2023-09-08 23:15:10,3.0,8543.0,3709.0,0.0,28.0,3284.0
2023-09-07 07:00:00,2023-09-08 23:15:10,3.0,7806.0,3712.0,0.0,28.0,3252.0
2023-09-07 08:00:00,2023-09-08 23:15:10,3.0,7409.0,3719.0,0.0,28.0,3148.0
2023-09-07 09:00:00,2023-09-08 23:15:10,3.0,7291.0,3729.0,0.0,28.0,3028.0
2023-09-07 10:00:00,2023-09-08 23:15:10,3.0,7588.0,3730.0,0.0,28.0,3132.0
2023-09-07 11:00:00,2023-09-08 23:15:10,3.0,8360.0,3732.0,0.0,28.0,3186.0
2023-09-07 12:00:00,2023-09-08 23:15:10,3.0,8646.0,3733.0,0.0,107.0,3191.0
2023-09-07 13:00:00,2023-09-08 23:15:10,3.0,8913.0,3733.0,0.0,969.0,3187.0
2023-09-07 14:00:00,2023-09-08 23:15:10,3.0,9253.0,3733.0,0.0,2276.0,3142.0
2023-09-07 15:00:00,2023-09-08 23:15:10,3.0,10070.0,3732.0,0.0,3340.0,3203.0
2023-09-07 16:00:00,2023-09-08 23:15:10,3.0,11395.0,3730.0,0.0,3831.0,3601.0
2023-09-07 17:00:00,2023-09-08 23:15:10,3.0,12826.0,3728.0,0.0,3709.0,3923.0
2023-09-07 18:00:00,2023-09-08 23:15:10,3.0,14248.0,3726.0,0.0,3604.0,3981.0
2023-09-07 19:00:00,2023-09-08 23:15:10,3.0,14824.0,3724.0,0.0,3544.0,4217.0
2023-09-07 20:00:00,2023-09-08 23:15:10,3.0,15137.0,3722.0,0.0,3159.0,4800.0
2023-09-07 21:00:00,2023-09-08 23:15:10,3.0,15419.0,3719.0,0.0,2758.0,5105.0
2023-09-07 22:00:00,2023-09-08 23:15:10,3.0,15497.0,3716.0,0.0,2198.0,5455.0
2023-09-07 23:00:00,2023-09-08 23:15:10,3.0,15636.0,3714.0,0.0,1017.0,5486.0
