UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-11-08 00:00:00,2024-07-17 00:00:00,3.1,4.2241718721465045,296.63870636468846,289.854157834957,293.5590621644478,0.0325885347186961,13793.1338,2848.11994,0.0,956.67578
2023-11-08 01:00:00,2024-07-17 00:00:00,3.1,4.117745371580971,296.2629408593448,290.672626849092,0.0,0.0218238393894102,13151.99307,2855.10762,0.0,906.76798
2023-11-08 02:00:00,2024-07-17 00:00:00,3.1,4.117745371580971,296.2629408593448,290.672626849092,0.0,0.0218238393894102,12638.47846,2848.6717,0.0,842.90009
2023-11-08 03:00:00,2024-07-17 00:00:00,3.1,4.117745371580971,296.2629408593448,290.672626849092,0.0,0.0218238393894102,12078.52261,2851.60446,0.01438,619.24309
2023-11-08 04:00:00,2024-07-17 00:00:00,3.1,4.157538672370912,295.74699089449325,290.71952015836246,0.0,0.0484286054695733,11065.96226,2856.48074,0.0,523.14364
2023-11-08 05:00:00,2024-07-17 00:00:00,3.1,4.157538672370912,295.74699089449325,290.71952015836246,0.0,0.0484286054695733,10110.27451,2838.15111,0.0,663.68604
2023-11-08 06:00:00,2024-07-17 00:00:00,3.1,4.157538672370912,295.74699089449325,290.71952015836246,0.0,0.0484286054695733,9004.04106,2849.87176,0.0,604.10553
2023-11-08 07:00:00,2024-07-17 00:00:00,3.1,3.7964402244046855,295.36643505436734,290.8332301606498,0.0,0.0312117928682438,8103.41981,2859.96407,0.0,588.14471
2023-11-08 08:00:00,2024-07-17 00:00:00,3.1,3.7964402244046855,295.36643505436734,290.8332301606498,0.0,0.0312117928682438,7485.19424,2843.25782,0.0,609.58105
2023-11-08 09:00:00,2024-07-17 00:00:00,3.1,3.7964402244046855,295.36643505436734,290.8332301606498,0.0,0.0312117928682438,6961.10772,2841.2286,0.0,650.47143
2023-11-08 10:00:00,2024-07-17 00:00:00,3.1,3.608650440268032,295.2101193723777,290.94758117238905,0.4520382179620029,0.0925637056411861,6918.54128,2854.60545,0.0,665.40583
2023-11-08 11:00:00,2024-07-17 00:00:00,3.1,3.608650440268032,295.2101193723777,290.94758117238905,0.4520382179620029,0.0925637056411861,7429.70691,2866.25409,0.0,667.7924
2023-11-08 12:00:00,2024-07-17 00:00:00,3.1,3.608650440268032,295.2101193723777,290.94758117238905,0.4520382179620029,0.0925637056411861,7764.36895,2889.78392,0.02719,743.00055
2023-11-08 13:00:00,2024-07-17 00:00:00,3.1,3.92161515934576,297.9299791189878,291.379082442636,280.72333717515494,0.0750080281117357,8612.2616,2883.2564,0.0,820.52597
2023-11-08 14:00:00,2024-07-17 00:00:00,3.1,3.92161515934576,297.9299791189878,291.379082442636,280.72333717515494,0.0750080281117357,9568.16679,2881.7343,0.0,853.31212
2023-11-08 15:00:00,2024-07-17 00:00:00,3.1,3.92161515934576,297.9299791189878,291.379082442636,280.72333717515494,0.0750080281117357,10488.7581,2881.23732,0.0,855.65453
