Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
40896,2023-09-17 00:00:00,2024-07-17 00:00:00,3.1,344.12,13286.0,3690.0,0.0,100.0,4160.0
40897,2023-09-17 01:00:00,2024-07-17 00:00:00,3.1,344.04,12891.0,3692.0,0.0,28.0,4092.0
40898,2023-09-17 02:00:00,2024-07-17 00:00:00,3.1,340.7,11983.0,3691.0,0.0,28.0,3909.0
40899,2023-09-17 03:00:00,2024-07-17 00:00:00,3.1,339.03,10990.0,3691.0,0.0,28.0,3901.0
40900,2023-09-17 04:00:00,2024-07-17 00:00:00,3.1,333.08,9999.0,3693.0,0.0,27.0,3596.0
40901,2023-09-17 05:00:00,2024-07-17 00:00:00,3.1,328.03,9172.0,3692.0,0.0,28.0,3382.0
40902,2023-09-17 06:00:00,2024-07-17 00:00:00,3.1,322.81,8458.0,3695.0,0.0,28.0,3183.0
40903,2023-09-17 07:00:00,2024-07-17 00:00:00,3.1,320.12,7759.0,3693.0,0.0,27.0,3154.0
40904,2023-09-17 08:00:00,2024-07-17 00:00:00,3.1,317.61,7245.0,3697.0,0.0,28.0,3122.0
40905,2023-09-17 09:00:00,2024-07-17 00:00:00,3.1,315.15,7050.0,3699.0,0.0,28.0,3032.0
40906,2023-09-17 10:00:00,2024-07-17 00:00:00,3.1,313.66,6974.0,3700.0,0.0,28.0,2971.0
40907,2023-09-17 11:00:00,2024-07-17 00:00:00,3.1,313.86,7057.0,3702.0,0.0,28.0,2966.0
40908,2023-09-17 12:00:00,2024-07-17 00:00:00,3.1,314.66,7315.0,3702.0,0.0,104.0,3045.0
40909,2023-09-17 13:00:00,2024-07-17 00:00:00,3.1,303.09,7904.0,3702.0,0.0,911.0,3197.0
40910,2023-09-17 14:00:00,2024-07-17 00:00:00,3.1,289.6,9188.0,3700.0,0.0,2039.0,3235.0
40911,2023-09-17 15:00:00,2024-07-17 00:00:00,3.1,284.38,10406.0,3699.0,0.0,2883.0,3375.0
40912,2023-09-17 16:00:00,2024-07-17 00:00:00,3.1,286.61,11646.0,3697.0,0.0,3343.0,3629.0
40913,2023-09-17 17:00:00,2024-07-17 00:00:00,3.1,292.0,12735.0,3699.0,0.0,3377.0,3791.0
40914,2023-09-17 18:00:00,2024-07-17 00:00:00,3.1,295.42,13354.0,3698.0,0.0,3325.0,3859.0
40915,2023-09-17 19:00:00,2024-07-17 00:00:00,3.1,307.28,14004.0,3696.0,0.0,2716.0,4079.0
40916,2023-09-17 20:00:00,2024-07-17 00:00:00,3.1,308.16,14139.0,3693.0,0.0,2642.0,4039.0
40917,2023-09-17 21:00:00,2024-07-17 00:00:00,3.1,314.51,14460.0,3694.0,0.0,2291.0,4146.0
40918,2023-09-17 22:00:00,2024-07-17 00:00:00,3.1,321.82,14345.0,3688.0,0.0,1914.0,4391.0
40919,2023-09-17 23:00:00,2024-07-17 00:00:00,3.1,335.32,14356.0,3690.0,0.0,925.0,4379.0
